threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
1.94,0.66906214,0.8085,0.801328384,0.8204,0.810752051,0.2034
1.92,0.67193675,0.8077,0.798679868,0.8228,0.810560536,0.2074
1.93,0.6704096,0.8079,0.799688534,0.8216,0.810496202,0.2058
1.84,0.6847826,0.805,0.788279773,0.834,0.810495627,0.224
1.96,0.6667265,0.8087,0.803182086,0.8178,0.810425131,0.2004
1.95,0.66789436,0.8084,0.80199765,0.819,0.810409658,0.2022
1.86,0.6815487,0.8055,0.790564961,0.8312,0.810373404,0.2202
1.87,0.6796622,0.8057,0.791754152,0.8296,0.810235375,0.2182
1.85,0.68289614,0.805,0.789154342,0.8324,0.810200506,0.2224
1.83,0.68577075,0.8044,0.787061486,0.8346,0.810133955,0.2258
1.88,0.6781351,0.8059,0.793063805,0.8278,0.810059693,0.216
1.91,0.6735537,0.8069,0.797095837,0.8234,0.810034432,0.2096
1.82,0.6870284,0.8038,0.785311796,0.8362,0.809957381,0.2286
1.81,0.68900466,0.8036,0.784589426,0.837,0.809947745,0.2298
1.98,0.6634926,0.8088,0.80513834,0.8148,0.809940358,0.1972
1.9,0.67517066,0.8065,0.795792318,0.8246,0.809940084,0.2116
1.99,0.6619655,0.8093,0.807272005,0.8126,0.80992724,0.194
1.89,0.67705715,0.8061,0.794270333,0.8262,0.809920596,0.214
1.97,0.6652893,0.8084,0.803782506,0.816,0.809845177,0.1992
2.26,0.6163313,0.8172,0.844034707,0.7782,0.809781478,0.1438
2.01,0.6572943,0.8097,0.809514291,0.81,0.809757073,0.1906
2,0.6592706,0.8095,0.808697387,0.8108,0.809747328,0.1918
2,0.6592706,0.8095,0.808697387,0.8108,0.809747328,0.1918
2.25,0.61821777,0.8169,0.842742808,0.7792,0.809726696,0.1454
1.8,0.6905318,0.8031,0.783429961,0.8378,0.809703296,0.2316
2.24,0.6195652,0.8166,0.841458154,0.7802,0.809672063,0.147
1.75,0.6984369,0.8011,0.776289227,0.846,0.809646856,0.2438
1.71,0.70364714,0.7999,0.772289813,0.8506,0.809555534,0.2508
2.05,0.65163493,0.8107,0.814537356,0.8046,0.809538183,0.1832
2.29,0.61210924,0.8178,0.848007008,0.7744,0.809533765,0.1388
2.23,0.6211822,0.816,0.839347079,0.7816,0.809444905,0.1496
2.06,0.65028745,0.8109,0.815762746,0.8032,0.809432631,0.1814
1.7,0.7049946,0.7995,0.771237095,0.8516,0.809428762,0.2526
2.02,0.656396,0.8096,0.810220441,0.8086,0.809409409,0.1894
2.11,0.64202297,0.8127,0.823907189,0.7954,0.809402666,0.17
2.27,0.61498386,0.8172,0.845533769,0.7762,0.809384776,0.1418
1.72,0.70220983,0.7999,0.772983798,0.8492,0.809301439,0.2494
1.76,0.6969098,0.8011,0.777307055,0.844,0.80928181,0.2418
1.79,0.69223857,0.8021,0.781023256,0.8396,0.809253012,0.2354
2.28,0.61300755,0.8173,0.846775956,0.7748,0.809190601,0.1402
2.22,0.622889,0.8155,0.837866781,0.7824,0.80918399,0.1514
2.32,0.6072584,0.8183,0.852023889,0.7704,0.809158702,0.1338
2.18,0.6301653,0.8144,0.83276884,0.7868,0.809132044,0.158
1.73,0.7012217,0.7999,0.773481671,0.8482,0.809119527,0.2484
1.74,0.6995149,0.8002,0.774606659,0.8468,0.809096121,0.2464
1.78,0.6934962,0.8015,0.779321845,0.8412,0.809079542,0.2382
2.3,0.61076176,0.8176,0.849010989,0.7726,0.809005236,0.1374
2.04,0.65316206,0.8097,0.812008866,0.806,0.808993275,0.1866
2.03,0.65450954,0.8094,0.810767376,0.8072,0.808979755,0.1884
2.07,0.6485807,0.8109,0.817309655,0.8008,0.808970603,0.179
1.69,0.7066116,0.7987,0.769730901,0.8524,0.808958907,0.255
2.19,0.62863815,0.8145,0.833935018,0.7854,0.808940159,0.1564
2.31,0.60896516,0.8178,0.850308642,0.7714,0.808934564,0.1358
