threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
1.7,0.55427253,0.8183,0.783033968,0.8806,0.828956039,0.244
1.71,0.55146813,0.8185,0.784019975,0.8792,0.828886584,0.2422
1.68,0.5638403,0.8177,0.781001238,0.883,0.828874495,0.2476
1.74,0.5409106,0.8194,0.787644092,0.8746,0.828847612,0.2358
1.72,0.5483339,0.8188,0.785356248,0.8774,0.828830531,0.2398
1.67,0.56631476,0.8173,0.77995412,0.884,0.828724102,0.2494
1.64,0.57720226,0.8163,0.776727909,0.8878,0.828558096,0.2552
1.69,0.55757177,0.8176,0.781760114,0.8812,0.828506958,0.246
1.73,0.54404485,0.8187,0.786240345,0.8754,0.828428125,0.238
1.65,0.57406795,0.8165,0.777875329,0.886,0.828424497,0.253
1.66,0.5701089,0.8167,0.778736138,0.8848,0.828386855,0.2514
1.63,0.5800066,0.8155,0.775449625,0.8882,0.828004102,0.2572
1.62,0.58413064,0.8152,0.774373259,0.8896,0.827997022,0.2592
1.75,0.53761137,0.8186,0.788065099,0.8716,0.827730294,0.2344
1.61,0.5879248,0.8146,0.773185134,0.8904,0.827663134,0.2612
1.76,0.53332233,0.8187,0.789253948,0.8696,0.827481207,0.2322
1.77,0.5283735,0.8189,0.790490071,0.8678,0.827342931,0.23
1.78,0.52490926,0.8191,0.791628587,0.8662,0.827237131,0.228
1.6,0.5925437,0.8136,0.771468144,0.8912,0.827023014,0.264
1.59,0.59666777,0.8132,0.770186335,0.8928,0.826972953,0.2664
1.58,0.5994721,0.8128,0.76919105,0.8938,0.826827012,0.2682
1.54,0.61662817,0.8116,0.765236636,0.899,0.826742689,0.2758
1.81,0.51484656,0.8196,0.795269771,0.8608,0.826738379,0.2216
1.53,0.6195975,0.8112,0.764086897,0.9004,0.82666177,0.278
1.79,0.5212801,0.8188,0.792477064,0.8638,0.826602871,0.2262
1.57,0.60491586,0.8122,0.767844887,0.895,0.826560768,0.2706
1.56,0.608875,0.8119,0.766809239,0.8964,0.826556017,0.2726
1.55,0.6134939,0.8117,0.76618275,0.8972,0.826531552,0.2738
1.83,0.5082481,0.8199,0.797249582,0.858,0.82650997,0.2182
1.8,0.5179809,0.8188,0.793230316,0.8624,0.826370257,0.2248
1.82,0.5113824,0.8194,0.796179525,0.8586,0.826212471,0.2198
1.87,0.49373144,0.8206,0.801656003,0.852,0.826061664,0.2108
1.85,0.4996701,0.82,0.799289188,0.8546,0.826019718,0.2146
1.84,0.50329924,0.8197,0.798060787,0.856,0.826015633,0.2166
1.52,0.62240183,0.8102,0.762525389,0.901,0.825999267,0.2806
1.88,0.49026725,0.8207,0.802604265,0.8506,0.825905428,0.2092
1.86,0.4960409,0.8201,0.800450535,0.8528,0.825796456,0.2126
1.51,0.62520623,0.8093,0.761188988,0.9014,0.825382291,0.2828
1.9,0.48416364,0.8208,0.804827062,0.847,0.825375171,0.2054
1.5,0.6294952,0.809,0.760364004,0.9024,0.82531553,0.2844
1.89,0.48713297,0.8203,0.803142154,0.8486,0.825245551,0.208
1.93,0.4752557,0.8217,0.809267449,0.8418,0.825213214,0.1984
1.94,0.47294623,0.8219,0.810414658,0.8404,0.825135002,0.1966
1.91,0.48102936,0.8208,0.805756767,0.8454,0.825102479,0.2038
1.95,0.4708017,0.8221,0.811448463,0.8392,0.825090945,0.195
1.96,0.46750247,0.8222,0.812330361,0.838,0.824965544,0.1936
1.92,0.47822502,0.821,0.807235835,0.8434,0.824921753,0.2014
1.49,0.6329594,0.8081,0.759125315,0.9026,0.824668799,0.2864
1.97,0.4646981,0.8219,0.813315164,0.8356,0.824306994,0.1918
1.48,0.63724846,0.8073,0.757499581,0.904,0.824291055,0.2894
1.47,0.6408776,0.8068,0.756521739,0.9048,0.824043716,0.2912
1.98,0.46189377,0.8219,0.814294083,0.834,0.824029246,0.1902
1.46,0.64401186,0.8063,0.75563345,0.9054,0.823764899,0.2928
