threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
0,0.8986805,0.7555,0.687124652,0.9382,0.793269637,0.4272,,,,,,,,
0.01,0.89777964,0.7555,0.687289254,0.9376,0.793164707,0.4266,,1.4,0.7226962,0.7554,0.740308619,0.7868,0.762846616,0.276
0.06,0.89179164,0.7557,0.688652796,0.9334,0.792561773,0.422,,,,,,,,
0.05,0.8931694,0.7555,0.688282977,0.934,0.792532881,0.423,,,,,,,,
0.03,0.8952361,0.7552,0.687702265,0.935,0.792507205,0.4246,,,,,,,,
0.02,0.895978,0.7547,0.686922061,0.936,0.792347414,0.4266,,,,,,,,
0.07,0.88988394,0.7556,0.688829787,0.9324,0.792318151,0.4212,,,,,,,,
0.04,0.8947592,0.755,0.687720848,0.9342,0.792232022,0.4242,,,,,,,,
0.09,0.877219,0.7565,0.69184742,0.925,0.791613179,0.412,,,,,,,,
0.14,0.8669387,0.7579,0.695645577,0.917,0.79113105,0.4012,,,,,,,,
0.13,0.86762756,0.7575,0.695105319,0.9174,0.790930253,0.4024,,,,,,,,
0.08,0.88421386,0.7548,0.689357907,0.9276,0.790927694,0.418,,,,,,,,
0.1,0.8730857,0.7567,0.693385566,0.9204,0.790925496,0.407,,,,,,,,
0.15,0.86598486,0.7576,0.695625759,0.916,0.790745856,0.4008,,,,,,,,
0.11,0.8705421,0.7569,0.694121203,0.9186,0.790737712,0.4048,,,,,,,,
0.12,0.8687404,0.757,0.694520133,0.9176,0.790625539,0.4036,,,,,,,,
0.16,0.8630703,0.7575,0.695936692,0.9146,0.790424337,0.3996,,,,,,,,
0.17,0.8617985,0.7573,0.696142705,0.9132,0.79003374,0.3986,,,,,,,,
0.18,0.85893697,0.7567,0.695924286,0.9118,0.789368886,0.3984,,,,,,,,
0.19,0.8571883,0.7566,0.696057457,0.911,0.789154539,0.3978,,,,,,,,
0.21,0.852843,0.7563,0.696518939,0.9084,0.788473223,0.3958,,,,,,,,
0.2,0.8533199,0.7559,0.695911805,0.909,0.788309774,0.3972,,,,,,,,
0.22,0.85056436,0.7557,0.696299708,0.907,0.78780509,0.3956,,,,,,,,
0.23,0.84897465,0.7556,0.696313364,0.9066,0.787662902,0.3954,,,,,,,,
0.24,0.84547716,0.7555,0.696568703,0.9054,0.787372815,0.3944,,,,,,,,
0.25,0.83885324,0.7547,0.696376253,0.9032,0.786417066,0.3938,,,,,,,,
0.26,0.83721054,0.7545,0.696403766,0.9024,0.786131196,0.3934,,,,,,,,
0.27,0.8362037,0.7542,0.696323757,0.9016,0.785776538,0.3932,,,,,,,,
0.29,0.8329712,0.7539,0.696730203,0.8992,0.785121802,0.3914,,,,,,,,
0.3,0.8313285,0.7537,0.69681924,0.8982,0.784796855,0.3908,,,,,,,,
0.28,0.83392507,0.7533,0.696022288,0.8994,0.784748277,0.3928,,,,,,,,
0.31,0.8295798,0.7534,0.696861405,0.897,0.784365163,0.3902,,,,,,,,
0.32,0.82735413,0.7529,0.696809339,0.8954,0.783719912,0.3896,,,,,,,,
0.33,0.8270362,0.7529,0.696931942,0.895,0.783644164,0.3892,,,,,,,,
0.34,0.8263473,0.7529,0.69723912,0.894,0.783454561,0.3882,,,,,,,,
0.35,0.82608235,0.7529,0.697423888,0.8934,0.78334064,0.3876,,,,,,,,
0.36,0.8250225,0.753,0.69765625,0.893,0.783333333,0.387,,,,,,,,
0.37,0.82290286,0.753,0.69790363,0.8922,0.78318118,0.3862,,,,,,,,
0.38,0.8216311,0.7533,0.698604359,0.891,0.783159005,0.3844,,,,,,,,
0.39,0.81929946,0.7529,0.698539802,0.8898,0.782654587,0.384,,,,,,,,
0.44,0.81580204,0.7535,0.699952674,0.8874,0.782608696,0.3804,,,,,,,,
0.42,0.8175507,0.7533,0.699543091,0.888,0.782585705,0.3814,,,,,,,,
