threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
1.48,0.9264874,0.8166,0.779188713,0.8836,0.828116214,0.2504,,,,,,,,
1.5,0.9187643,0.8169,0.781288834,0.8802,0.827800245,0.2464,,1.69,0.8338101,0.8204,0.805026657,0.8456,0.82481467,0.2048
1.51,0.9156178,0.8172,0.782608696,0.8784,0.827742179,0.244,,,,,,,,
1.45,0.9324943,0.8151,0.775004364,0.888,0.827663342,0.2578,,,,,,,,
1.54,0.90217394,0.8181,0.786731567,0.8728,0.827533896,0.2366,,,,,,,,
1.58,0.8861556,0.8195,0.792850596,0.865,0.827355332,0.226,,,,,,,,
1.55,0.89902747,0.8181,0.787457076,0.8714,0.827304662,0.2352,,,,,,,,
1.44,0.93564075,0.8144,0.773581622,0.889,0.827284571,0.2602,,,,,,,,
1.49,0.92248285,0.816,0.779547063,0.8812,0.827262486,0.2492,,,,,,,,
1.46,0.930492,0.815,0.775928521,0.8858,0.827231976,0.2558,,,,,,,,
1.53,0.90675056,0.8175,0.785367607,0.8738,0.827227114,0.2388,,,,,,,,
1.57,0.88844395,0.819,0.791377421,0.8664,0.82719114,0.2284,,,,,,,,
1.52,0.91275746,0.817,0.783643522,0.8758,0.827162826,0.2418,,,,,,,,
1.47,0.9279176,0.8152,0.776879831,0.8844,0.827160494,0.254,,,,,,,,
1.43,0.9385011,0.8137,0.771978498,0.8904,0.826971301,0.263,,,,,,,,
1.35,0.96167046,0.8112,0.763282572,0.9022,0.826947754,0.2798,,,,,,,,
1.56,0.8953089,0.8182,0.789167575,0.8684,0.826890116,0.232,,,,,,,,
1.59,0.88100684,0.8193,0.793636196,0.863,0.826865958,0.2244,,,,,,,,
1.36,0.958238,0.8113,0.764216602,0.9004,0.826737673,0.2778,,,,,,,,
1.39,0.9502288,0.8122,0.767477724,0.8958,0.826688815,0.2714,,,,,,,,
1.41,0.944222,0.8126,0.769204271,0.8932,0.826577827,0.268,,,,,,,,
1.34,0.96367276,0.8104,0.761631827,0.9036,0.826564215,0.2828,,,,,,,,
1.6,0.8755721,0.8192,0.794247788,0.8616,0.826554106,0.2232,,,,,,,,
1.4,0.9459382,0.812,0.767949158,0.8942,0.8262798,0.2702,,,,,,,,
1.63,0.86098397,0.8199,0.798136067,0.8564,0.826242161,0.2166,,,,,,,,
1.65,0.8521167,0.8203,0.800187441,0.8538,0.826124819,0.2132,,,,,,,,
1.38,0.95194507,0.8113,0.766022902,0.8964,0.826098977,0.2738,,,,,,,,
1.62,0.8647025,0.8195,0.796988288,0.8574,0.826091146,0.2184,,,,,,,,
1.64,0.8566934,0.8198,0.798543689,0.8554,0.825994593,0.2158,,,,,,,,
1.61,0.8701373,0.819,0.79537037,0.859,0.825961538,0.221,,,,,,,,
1.42,0.94193363,0.8122,0.769602763,0.8912,0.825949954,0.2668,,,,,,,,
1.33,0.9648169,0.8093,0.759784982,0.9046,0.82589245,0.286,,,,,,,,
1.37,0.9548055,0.8107,0.764605689,0.8978,0.825866986,0.2764,,,,,,,,
1.66,0.84696794,0.8203,0.801203686,0.852,0.82582146,0.2114,,,,,,,,
1.32,0.96710527,0.8088,0.758799866,0.9054,0.825642896,0.2878,,,,,,,,
1.74,0.80863845,0.8224,0.811678268,0.8396,0.825403067,0.1948,,,,,,,,
1.67,0.8438215,0.8202,0.802189505,0.85,0.825402991,0.2096,,,,,,,,
1.3,0.9716819,0.8076,0.756333333,0.9076,0.825090909,0.2924,,,,,,,,
1.7,0.82951945,0.821,0.806766055,0.8442,0.82505864,0.2022,,,,,,,,
1.22,0.98083526,0.8052,0.748939641,0.9182,0.824977538,0.3078,,,,,,,,
1.29,0.9745423,0.8071,0.755024082,0.9092,0.824970511,0.295,,,,,,,,
1.28,0.97597253,0.8068,0.754057635,0.9106,0.824968291,0.297,,,,,,,,
