threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
1.55,0.9047619,0.8221,0.786821015,0.8836,0.832406971,0.2394
1.54,0.9126984,0.8214,0.785333807,0.8846,0.832016554,0.2418
1.56,0.9021164,0.8218,0.78742408,0.8816,0.831855067,0.238
1.59,0.8915344,0.8225,0.791327913,0.876,0.831514001,0.231
1.65,0.85978836,0.8242,0.798416789,0.8674,0.831480061,0.219
1.6,0.88095236,0.8225,0.791855204,0.875,0.831353919,0.23
1.67,0.8544974,0.8245,0.800185014,0.865,0.831331091,0.216
1.58,0.8941799,0.8219,0.789738974,0.8774,0.831264803,0.2336
1.53,0.91798943,0.8203,0.783601913,0.885,0.831220062,0.2444
1.64,0.86243385,0.8235,0.796625711,0.8688,0.831148952,0.2218
1.63,0.8677249,0.8232,0.79564581,0.8698,0.831072043,0.2234
1.57,0.8994709,0.8214,0.788406317,0.8786,0.831063186,0.2358
1.61,0.88095236,0.8224,0.792558984,0.8734,0.831018078,0.2286
1.62,0.87830687,0.8228,0.794203427,0.8714,0.831012779,0.2258
1.5,0.9232804,0.8193,0.780530662,0.8884,0.830979328,0.2498
1.49,0.9259259,0.819,0.779726412,0.8892,0.830872734,0.2512
1.66,0.85714287,0.8238,0.798818752,0.8656,0.830869649,0.218
1.51,0.9206349,0.8193,0.781321586,0.8868,0.830725995,0.2482
1.52,0.91798943,0.8195,0.782094296,0.8858,0.830723061,0.2468
1.47,0.93121696,0.8182,0.777661431,0.8912,0.8305685,0.2548
1.46,0.93121696,0.8178,0.776251739,0.893,0.830543155,0.2574
1.48,0.9285714,0.8184,0.778516445,0.89,0.830533781,0.2532
1.45,0.93121696,0.8173,0.774813788,0.8946,0.830409357,0.26
1.68,0.8518519,0.8238,0.800705795,0.8622,0.830315871,0.2146
1.69,0.83862436,0.8239,0.801751444,0.8606,0.830134079,0.2128
1.43,0.93915343,0.8163,0.772249957,0.8972,0.830049033,0.2646
1.7,0.8333333,0.8241,0.802953823,0.859,0.830031887,0.2108
1.44,0.93386245,0.8165,0.773268865,0.8956,0.829950885,0.2626
1.71,0.82275134,0.8244,0.804658152,0.8568,0.829910887,0.208
1.42,0.9417989,0.8156,0.770947802,0.898,0.829637842,0.2668
1.73,0.8148148,0.8247,0.806957837,0.8536,0.82962387,0.2042
1.72,0.8148148,0.8241,0.805351423,0.8548,0.829339284,0.2066
1.74,0.8095238,0.8247,0.808239985,0.8514,0.82925879,0.202
1.41,0.9417989,0.8148,0.769428278,0.899,0.829182808,0.2694
1.4,0.9417989,0.8143,0.768311422,0.9,0.828958276,0.2714
1.39,0.9417989,0.8138,0.767109295,0.9012,0.828765864,0.2736
1.35,0.94973546,0.8127,0.763526041,0.906,0.828683801,0.2806
1.36,0.94973546,0.8129,0.764586504,0.9042,0.828553102,0.2784
1.37,0.94973546,0.813,0.765164351,0.9032,0.82847184,0.2772
1.38,0.94708997,0.8131,0.766015293,0.9016,0.82829582,0.2754
1.75,0.8095238,0.8239,0.808300019,0.8492,0.828245392,0.2014
1.34,0.95238096,0.8119,0.762056797,0.907,0.828234864,0.2832
1.33,0.95238096,0.8112,0.760986246,0.9074,0.827768655,0.285
1.32,0.95238096,0.8107,0.759392219,0.9096,0.827736828,0.2882
1.76,0.8095238,0.8236,0.809014515,0.8472,0.827667057,0.2
1.79,0.7936508,0.8245,0.813284418,0.8424,0.827586207,0.1934
1.31,0.95502645,0.8101,0.758287523,0.9104,0.827410706,0.2902
1.78,0.8042328,0.8239,0.811502212,0.8438,0.827336013,0.196
1.77,0.8042328,0.8235,0.810044087,0.8452,0.827248703,0.1982
1.27,0.95767194,0.8088,0.755122274,0.914,0.826999638,0.2964
1.8,0.78835976,0.8243,0.814671065,0.8396,0.8269477,0.191
1.26,0.962963,0.8085,0.754495958,0.9146,0.82686918,0.2976
1.3,0.95767194,0.8092,0.756895979,0.911,0.826828826,0.2926
