threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
1.77,0.95454544,0.8141,0.778605641,0.8778,0.825232678,0.2496
1.76,0.95454544,0.8137,0.777659763,0.8786,0.825053996,0.2512
1.91,0.95454544,0.818,0.794444444,0.858,0.825,0.222
1.74,0.95454544,0.813,0.775334272,0.8814,0.824971921,0.2554
1.79,0.95454544,0.8145,0.781155015,0.8738,0.824884358,0.2448
1.73,0.95454544,0.8125,0.773882559,0.883,0.824848202,0.258
1.75,0.95454544,0.8132,0.776580714,0.8794,0.824798349,0.253
1.92,0.95454544,0.818,0.795319465,0.8564,0.824730354,0.2204
1.78,0.95454544,0.8138,0.779380342,0.8754,0.824604371,0.2478
1.7,0.95454544,0.8113,0.77036651,0.887,0.824579344,0.2644
1.81,0.95454544,0.8147,0.78285098,0.871,0.824576351,0.2416
1.8,0.95454544,0.8144,0.781922525,0.872,0.824508321,0.2432
1.69,0.95454544,0.8109,0.769270743,0.8882,0.824468579,0.2664
1.83,0.95454544,0.8152,0.785094067,0.868,0.824468085,0.2376
1.82,0.95454544,0.8148,0.78370584,0.8696,0.824421691,0.24
1.85,0.95454544,0.8156,0.786804798,0.8658,0.824414397,0.2346
1.9,0.95454544,0.8169,0.792289246,0.859,0.824297092,0.2252
1.86,0.95454544,0.8157,0.787679971,0.8644,0.824258606,0.233
1.93,0.95454544,0.818,0.796863331,0.8536,0.82425647,0.2176
1.72,0.95454544,0.8115,0.772052402,0.884,0.824242424,0.261
1.84,0.95454544,0.8152,0.786025408,0.8662,0.82416746,0.2358
1.87,0.95454544,0.8157,0.788205222,0.8634,0.824090866,0.232
1.67,0.95454544,0.81,0.767241379,0.89,0.824074074,0.27
1.54,0.95454544,0.8064,0.755163225,0.9068,0.824063977,0.294
1.53,0.95454544,0.8061,0.754447215,0.9076,0.823967317,0.2954
1.52,0.95454544,0.8057,0.753440557,0.9088,0.823860031,0.2974
1.94,0.95454544,0.8179,0.797826494,0.8516,0.823836703,0.2158
1.71,0.95454544,0.8108,0.770731707,0.8848,0.823836127,0.2632
1.68,0.95454544,0.8099,0.767570368,0.889,0.823834677,0.2692
1.89,0.95454544,0.816,0.790547996,0.8598,0.823721019,0.2278
1.66,0.95454544,0.8093,0.766041631,0.8906,0.823638213,0.272
1.88,0.95454544,0.8156,0.789328933,0.861,0.823608188,0.2298
1.65,0.95454544,0.8089,0.765150215,0.8914,0.823464203,0.2736
1.46,1,0.8037,0.748323794,0.9152,0.823391813,0.3078
1.45,1,0.8034,0.747471452,0.9164,0.823360288,0.3096
1.51,0.95454544,0.8048,0.751900826,0.9098,0.823348416,0.3002
1.55,0.95454544,0.806,0.755852843,0.904,0.823315118,0.292
1.95,0.95454544,0.8177,0.798758699,0.8494,0.823301347,0.214
1.43,1,0.8029,0.746140094,0.9182,0.823276249,0.3124
1.57,0.95454544,0.8064,0.757306013,0.9018,0.823260909,0.289
1.58,0.95454544,0.8067,0.758382477,0.9002,0.823228166,0.2868
1.64,0.95454544,0.8084,0.764131552,0.8922,0.823214615,0.2754
1.44,1,0.803,0.746662325,0.9172,0.823191528,0.3112
1.5,0.95454544,0.8044,0.751072253,0.9106,0.823178449,0.3018
1.47,1,0.8035,0.748648206,0.9138,0.823020805,0.3068
1.56,0.95454544,0.8059,0.756326462,0.9026,0.823014498,0.2908
1.49,0.97727275,0.8039,0.749958875,0.9118,0.822998466,0.304
1.59,0.95454544,0.8066,0.759040216,0.8984,0.82286133,0.2852
1.63,0.95454544,0.8077,0.762766866,0.8932,0.822846614,0.2778
1.48,0.97727275,0.8035,0.749219905,0.9124,0.822797367,0.3054
1.62,0.95454544,0.8074,0.761929107,0.8942,0.822782481,0.2794
1.98,0.95454544,0.8182,0.802816901,0.8436,0.822703335,0.2072
1.96,0.95454544,0.8175,0.8000378,0.8466,0.822660577,0.2116
2,0.9318182,0.8189,0.805987334,0.84,0.822642249,0.2022
