threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
1.91,0.9143279,0.8163,0.782865319,0.8754,0.826550845,0.2428
1.93,0.9143279,0.8167,0.784750944,0.8728,0.82643689,0.2394
2.02,0.9143279,0.8194,0.795521836,0.8598,0.826412918,0.221
1.92,0.9143279,0.8164,0.783715925,0.874,0.826399395,0.2412
2.03,0.9143279,0.8197,0.797063743,0.8578,0.82631731,0.2184
1.94,0.9143279,0.8165,0.785495219,0.8708,0.825950868,0.2378
1.9,0.9143279,0.8152,0.780626781,0.8768,0.825923135,0.2464
1.95,0.9143279,0.8167,0.786502623,0.8694,0.825876318,0.236
2.04,0.9143279,0.8196,0.798245614,0.8554,0.825835103,0.2162
2.01,0.9143279,0.8184,0.793510324,0.8608,0.825786646,0.224
1.89,0.9143279,0.8148,0.779673063,0.8776,0.82574332,0.248
2.09,0.9143279,0.8211,0.804938272,0.8476,0.825718461,0.2054
2.11,0.9143279,0.8218,0.808001531,0.8442,0.825704225,0.2006
2.05,0.9143279,0.8198,0.799662669,0.8534,0.825657895,0.2138
2,0.9143279,0.818,0.792386907,0.8618,0.825637095,0.2258
2,0.9143279,0.818,0.792386907,0.8618,0.825637095,0.2258
1.97,0.9143279,0.817,0.788601602,0.8662,0.825581395,0.2322
1.96,0.9143279,0.8167,0.787543127,0.8674,0.825544875,0.234
1.99,0.9143279,0.8175,0.790804177,0.8634,0.825509131,0.2284
1.98,0.9143279,0.8172,0.789627465,0.8648,0.825505918,0.2304
2.06,0.9143279,0.82,0.801091457,0.8514,0.82547993,0.2114
2.08,0.9143279,0.8204,0.80317941,0.8488,0.825359782,0.208
2.12,0.9143279,0.8216,0.80875576,0.8424,0.82523511,0.1992
2.07,0.9143279,0.8199,0.801621724,0.8502,0.825196545,0.2104
1.88,0.9143279,0.8137,0.777758102,0.8784,0.825021133,0.251
1.86,0.9143279,0.8129,0.775197889,0.8814,0.824894712,0.2556
2.1,0.9143279,0.8206,0.805682685,0.845,0.824873096,0.2038
1.87,0.9143279,0.8132,0.776385457,0.8798,0.824864054,0.2534
1.85,0.9143279,0.8121,0.773436131,0.8828,0.824507332,0.2586
2.13,0.9143279,0.821,0.808891455,0.8406,0.824440957,0.1986
1.8,0.9143279,0.8104,0.768326418,0.8888,0.824183976,0.268
1.79,0.9143279,0.8101,0.767373685,0.89,0.824150384,0.2698
1.75,0.9143279,0.8092,0.764273504,0.8942,0.824147465,0.2758
2.14,0.91137373,0.821,0.810085008,0.8386,0.824095912,0.1966
2.21,0.9098966,0.8235,0.82163452,0.8264,0.82401037,0.1794
2.15,0.91137373,0.8212,0.811602639,0.8366,0.823911759,0.1942
1.84,0.9143279,0.8111,0.771608172,0.8838,0.823902303,0.2616
1.77,0.9143279,0.8094,0.765716249,0.8916,0.823877287,0.2728
1.83,0.9143279,0.8108,0.770731707,0.8848,0.823836127,0.2632
1.76,0.9143279,0.8091,0.764867181,0.8926,0.823811721,0.2744
1.78,0.9143279,0.8095,0.766305283,0.8906,0.823790584,0.2716
2.2,0.9098966,0.8228,0.819351009,0.8282,0.823751741,0.1826
1.81,0.9143279,0.8101,0.768577862,0.8874,0.823725982,0.2672
2.22,0.9098966,0.8235,0.822789862,0.8246,0.823693937,0.1776
1.74,0.9143279,0.8084,0.762870781,0.895,0.823670164,0.2782
2.23,0.9098966,0.8238,0.82431891,0.823,0.823658927,0.1754
1.67,0.9143279,0.8068,0.757641921,0.9022,0.823626073,0.2886
1.69,0.9143279,0.8072,0.75919676,0.8998,0.823540179,0.2854
2.24,0.9098966,0.8239,0.825396825,0.8216,0.823494036,0.1738
2.25,0.9098966,0.8241,0.826384693,0.8206,0.823482188,0.1724
1.71,0.9143279,0.8075,0.760460783,0.8978,0.823443089,0.2828
1.72,0.9143279,0.8077,0.761249788,0.8966,0.823399761,0.2812
1.82,0.9143279,0.81,0.769190691,0.8858,0.823387247,0.2658
