threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
2.15,0.9348199,0.8247,0.84099979,0.8008,0.820407745,0.1514
2.16,0.9348199,0.8249,0.842216137,0.7996,0.820354981,0.1498
2.17,0.9348199,0.8249,0.843083421,0.7984,0.820133539,0.1486
2.18,0.9348199,0.8247,0.843452507,0.7974,0.819779994,0.148
2.14,0.9348199,0.8238,0.8389866,0.8014,0.819762684,0.1538
2.09,0.9382504,0.8219,0.831513903,0.8074,0.819279554,0.1636
2.19,0.9348199,0.8244,0.844373673,0.7954,0.81915551,0.1466
2.1,0.9382504,0.822,0.832782141,0.8058,0.819068916,0.1618
2.11,0.9382504,0.8223,0.834544322,0.804,0.818987471,0.1594
2.03,0.94168097,0.82,0.823624595,0.8144,0.818986323,0.1744
2.01,0.9433962,0.8195,0.821363911,0.8166,0.818975028,0.1776
2.13,0.9365352,0.8226,0.836321935,0.8022,0.818905676,0.157
2.2,0.9313894,0.8244,0.845547507,0.7938,0.818857025,0.145
2.02,0.94168097,0.8196,0.822307382,0.8154,0.818839124,0.1762
1.98,0.9451115,0.8185,0.817420769,0.8202,0.818808026,0.1832
2.05,0.9382504,0.8203,0.825706732,0.812,0.818796007,0.1714
2.07,0.9382504,0.8208,0.828150573,0.8096,0.818770227,0.168
2,0.9433962,0.819,0.819895708,0.8176,0.818746245,0.1796
2,0.9433962,0.819,0.819895708,0.8176,0.818746245,0.1796
2.12,0.9365352,0.8222,0.835066556,0.803,0.818719413,0.1586
2.06,0.9382504,0.8204,0.826805386,0.8106,0.818622501,0.1698
2.08,0.9382504,0.821,0.829839704,0.8076,0.818568822,0.1656
2.04,0.93996567,0.8198,0.824340771,0.8128,0.818529708,0.1732
1.99,0.9433962,0.8185,0.818691215,0.8182,0.818445534,0.1812
2.25,0.92624354,0.825,0.850366537,0.7888,0.81842706,0.1388
2.24,0.92624354,0.8249,0.849881542,0.7892,0.818417505,0.1394
1.97,0.94682676,0.8178,0.815653556,0.8212,0.818417381,0.1856
2.21,0.9313894,0.8242,0.846367521,0.7922,0.81838843,0.1438
1.96,0.94682676,0.8174,0.814257426,0.8224,0.818308458,0.1876
2.22,0.92795885,0.8242,0.846812152,0.7916,0.818275791,0.1432
2.26,0.92624354,0.825,0.851123596,0.7878,0.818238471,0.1378
1.95,0.94682676,0.8169,0.81270969,0.8236,0.818118605,0.1898
2.28,0.92281306,0.8251,0.852526567,0.7862,0.818021018,0.136
1.92,0.95197254,0.816,0.809197652,0.827,0.818001978,0.195
1.94,0.948542,0.8165,0.811454438,0.8246,0.817974407,0.1916
2.29,0.92109776,0.8251,0.853139257,0.7854,0.817869416,0.1352
2.31,0.9193825,0.8255,0.855426949,0.7834,0.817830671,0.1324
2.32,0.9193825,0.8257,0.856579812,0.7824,0.817811226,0.131
2.23,0.92795885,0.824,0.847788751,0.7898,0.817767654,0.1418
2.27,0.92281306,0.8247,0.851483005,0.7866,0.817756524,0.1372
1.93,0.95197254,0.816,0.810168826,0.8254,0.817713493,0.1934
2.3,0.92109776,0.825,0.853722246,0.7844,0.81759433,0.1344
1.9,0.95368785,0.8148,0.805631068,0.8298,0.817536946,0.2002
1.81,0.9622642,0.8116,0.792637115,0.844,0.817512592,0.2208
1.91,0.95197254,0.8151,0.807055155,0.8282,0.81749087,0.198
1.89,0.9554031,0.8144,0.804297329,0.831,0.817430651,0.2022
1.88,0.95711833,0.814,0.802971826,0.8322,0.817324691,0.2042
2.33,0.91595197,0.8254,0.857111501,0.781,0.817287568,0.1302
1.75,0.9639794,0.8093,0.784439949,0.853,0.81728466,0.2344
1.87,0.95711833,0.8135,0.801152738,0.834,0.817246448,0.207
2.35,0.9142367,0.8255,0.858401233,0.7796,0.817105125,0.1286
1.67,0.9691252,0.8061,0.773254776,0.8662,0.817092727,0.254
2.34,0.91595197,0.8253,0.85755111,0.7802,0.817048906,0.1296
