threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
1.58,0.9361702,0.8141,0.778704525,0.8776,0.825199812,0.2494
1.54,0.9391049,0.8127,0.773961801,0.8834,0.825067713,0.258
1.5,0.94130594,0.8109,0.767786391,0.8914,0.824988431,0.2696
1.49,0.9415505,0.8105,0.766706751,0.8926,0.824877553,0.2716
1.62,0.9317682,0.8154,0.784965667,0.8688,0.824757927,0.238
1.51,0.94130594,0.811,0.768938084,0.8892,0.824707846,0.2672
1.52,0.94057226,0.8114,0.770406391,0.8872,0.824688604,0.2644
1.59,0.935192,0.8139,0.77971841,0.875,0.824615965,0.2472
1.53,0.9391049,0.8118,0.772076789,0.8848,0.824603914,0.2612
1.55,0.9381267,0.8124,0.77432385,0.8818,0.824574528,0.257
1.48,0.94228417,0.8098,0.765239726,0.8938,0.824538745,0.2742
1.63,0.9310345,0.8156,0.786700581,0.866,0.824447829,0.2348
1.57,0.9369039,0.8126,0.77595339,0.879,0.824268567,0.2538
1.56,0.93763757,0.8123,0.77486358,0.8804,0.824267391,0.2558
1.61,0.93299097,0.8144,0.782733813,0.8704,0.824242424,0.2416
1.65,0.92907804,0.8163,0.790343308,0.861,0.824160046,0.2284
1.66,0.9288335,0.8165,0.792028049,0.8584,0.823879451,0.2254
1.64,0.9298117,0.8156,0.788482633,0.8626,0.823877746,0.2314
1.6,0.9339692,0.8134,0.780322004,0.8724,0.823796034,0.2456
1.67,0.92638785,0.8167,0.793730291,0.8558,0.823597344,0.2224
1.47,0.9439961,0.8082,0.76261077,0.895,0.823518587,0.2786
1.46,0.94472975,0.8077,0.761072459,0.897,0.82346461,0.2816
1.68,0.92467594,0.8169,0.795120134,0.8538,0.823415951,0.22
1.69,0.92394227,0.8173,0.796819457,0.8518,0.823392943,0.2172
1.71,0.9219858,0.8178,0.800151114,0.8472,0.823003691,0.2116
1.7,0.9224749,0.8173,0.798270352,0.8492,0.82294796,0.2146
1.45,0.9454634,0.8068,0.759647935,0.8976,0.822882288,0.284
1.72,0.92125213,0.8181,0.802204066,0.8444,0.822761376,0.2082
1.73,0.9202739,0.8183,0.804011461,0.8418,0.82247191,0.2052
1.44,0.94595253,0.806,0.758271438,0.8984,0.822409374,0.2864
1.42,0.9474199,0.8051,0.755484843,0.9022,0.822349831,0.292
1.43,0.94693077,0.8055,0.757025072,0.8998,0.822260806,0.2888
1.75,0.91758376,0.8189,0.808115942,0.8364,0.822014742,0.1986
1.41,0.947909,0.8043,0.75396428,0.9034,0.821945228,0.2948
1.74,0.92002934,0.8183,0.806116561,0.8382,0.821845279,0.2016
1.76,0.9161164,0.819,0.809708738,0.834,0.821674877,0.196
1.4,0.9488872,0.8035,0.752621941,0.9042,0.821477242,0.2972
1.39,0.9488872,0.8026,0.751078659,0.9052,0.82096862,0.3
1.38,0.94913185,0.8021,0.74995863,0.9064,0.820791452,0.3022
1.37,0.9493764,0.8014,0.748106684,0.9088,0.820661008,0.306
1.36,0.94962096,0.8006,0.746555118,0.9102,0.820295602,0.309
1.77,0.9144045,0.8182,0.810985145,0.8298,0.820284698,0.1934
1.29,0.95133287,0.7986,0.740651193,0.919,0.82024277,0.3218
1.35,0.94962096,0.8002,0.745582461,0.9114,0.820194384,0.311
1.34,0.9498655,0.7998,0.744694744,0.9124,0.820061118,0.3128
1.78,0.9134263,0.8185,0.813176008,0.827,0.820029747,0.19
1.28,0.95133287,0.798,0.73962689,0.9198,0.819932252,0.3238
1.3,0.95133287,0.7986,0.741429495,0.917,0.819921316,0.3198
1.25,0.9515774,0.7972,0.737380192,0.9232,0.819893428,0.3288
1.33,0.9501101,0.7992,0.743489583,0.9136,0.819813352,0.3152
1.26,0.9515774,0.7973,0.73787806,0.9222,0.819806205,0.3276
1.79,0.9126926,0.8188,0.815518606,0.824,0.819737366,0.1864
1.24,0.95206654,0.7966,0.73637233,0.924,0.819584886,0.3308
