threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
1.86,0.6403162,0.815,0.825682382,0.7986,0.811915413,0.1686
1.84,0.64435863,0.8139,0.82155296,0.802,0.811658739,0.1742
1.85,0.6422027,0.8142,0.823251029,0.8002,0.811561866,0.1718
1.91,0.629267,0.8163,0.833720194,0.7902,0.811376938,0.1576
1.87,0.63780093,0.8147,0.826655595,0.7964,0.811245798,0.167
1.9,0.63178223,0.8156,0.831931005,0.791,0.810949354,0.1598
1.88,0.6363636,0.8148,0.828327076,0.7942,0.810904635,0.1646
1.89,0.63429755,0.8151,0.829809504,0.7928,0.810882684,0.1626
1.75,0.65909094,0.8099,0.806770936,0.815,0.810864591,0.1952
1.77,0.655318,0.8104,0.809904153,0.8112,0.810551559,0.1904
1.92,0.6267517,0.8159,0.834994698,0.7874,0.810499228,0.1556
1.76,0.6571146,0.8098,0.807829889,0.813,0.810406699,0.1934
1.56,0.6902623,0.8032,0.782098995,0.8406,0.810294968,0.2342
1.83,0.6457959,0.8121,0.818274526,0.8024,0.810259517,0.1782
1.74,0.661157,0.809,0.804974339,0.8156,0.810252335,0.1976
1.82,0.64678407,0.8118,0.81699878,0.8036,0.810244001,0.18
1.57,0.688825,0.8033,0.782876329,0.8394,0.81015346,0.2328
1.93,0.62396693,0.8159,0.836278476,0.7856,0.810147468,0.1538
1.55,0.69214875,0.8027,0.780849879,0.8416,0.810087593,0.2362
1.54,0.69358605,0.8023,0.779545034,0.843,0.810031709,0.2384
1.58,0.6878369,0.8034,0.783763562,0.838,0.80997487,0.2312
1.66,0.67373335,0.8061,0.794496825,0.8258,0.809846033,0.2136
1.81,0.64795184,0.811,0.815032415,0.8046,0.809782609,0.1826
1.67,0.67238593,0.8063,0.79548524,0.8246,0.809781008,0.212
1.8,0.6496586,0.8107,0.813901798,0.8056,0.809729621,0.1842
1.61,0.6827165,0.8041,0.787266201,0.8334,0.809676479,0.2252
1.78,0.65316206,0.8098,0.810296474,0.809,0.809647718,0.1894
1.59,0.68613005,0.8033,0.784361523,0.8366,0.809639021,0.23
1.6,0.6849623,0.8036,0.785660519,0.835,0.809579213,0.2278
1.73,0.6625045,0.8081,0.803427221,0.8158,0.809566339,0.1996
1.53,0.69529283,0.8012,0.777348066,0.8442,0.809395973,0.2418
1.79,0.65073663,0.8101,0.812411848,0.8064,0.809394761,0.1862
1.68,0.67103845,0.8061,0.796321394,0.8226,0.809247418,0.2104
1.94,0.6210923,0.8153,0.837075048,0.783,0.809135063,0.1524
1.69,0.6698706,0.8064,0.797938545,0.8206,0.809110629,0.2078
1.65,0.6757995,0.8048,0.792065926,0.8266,0.808964572,0.217
1.72,0.6640316,0.8073,0.802044427,0.816,0.80896203,0.2014
1.52,0.69646066,0.8004,0.775697504,0.8452,0.808958652,0.2444
1.96,0.61615163,0.8158,0.840301724,0.7798,0.808921162,0.1482
1.95,0.61821777,0.8155,0.838882922,0.781,0.808907302,0.15
1.7,0.668074,0.8065,0.799141128,0.8188,0.808851131,0.2058
1.62,0.68029106,0.8036,0.788045541,0.8306,0.808763389,0.2234
1.71,0.6658282,0.8068,0.800666405,0.817,0.808750742,0.2034
1.63,0.67939276,0.8039,0.789263278,0.8292,0.808738906,0.2214
1.49,0.70229965,0.7991,0.771859662,0.8492,0.808684887,0.251
1.97,0.6142652,0.8157,0.841149773,0.7784,0.80855926,0.147
1.64,0.6778656,0.8038,0.789664378,0.8282,0.808473253,0.2206
1.98,0.6123787,0.8157,0.842185129,0.777,0.808280454,0.1456
1.5,0.70014375,0.799,0.77271069,0.8472,0.808242702,0.2492
2.06,0.5923464,0.8179,0.853772535,0.7672,0.808174444,0.1314
2.05,0.59540063,0.8174,0.85126162,0.7692,0.808152973,0.1344
1.51,0.697898,0.7991,0.773450357,0.846,0.808100105,0.2478
1.99,0.61040246,0.8157,0.843077592,0.7758,0.808040829,0.1444
