threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
1.58,0.6200924,0.8034,0.757467753,0.8926,0.819500551,0.2858,,,,,,,,
1.59,0.617453,0.8035,0.757858963,0.892,0.819476344,0.285,,,,,,,,
1.6,0.6143187,0.8036,0.758867667,0.89,0.81921944,0.2828,,,,,,,,
1.61,0.6111844,0.8037,0.759439604,0.889,0.819128352,0.2816,,1.85,0.5415704,0.808,0.777677605,0.8626,0.817940451,0.2466
1.57,0.62273175,0.8028,0.756523212,0.893,0.819115759,0.2874,,,,,,,,
1.56,0.62586606,0.8026,0.756006768,0.8936,0.819065078,0.2884,,,,,,,,
1.54,0.63196963,0.802,0.754723347,0.8948,0.818814056,0.2908,,,,,,,,
1.55,0.6291653,0.8019,0.755026187,0.8938,0.818573129,0.29,,,,,,,,
1.62,0.6073903,0.8033,0.75971913,0.8872,0.818525694,0.2806,,,,,,,,
1.53,0.6339492,0.8014,0.753703704,0.8954,0.818464351,0.2926,,,,,,,,
1.63,0.60458595,0.8032,0.760123542,0.886,0.818248984,0.2796,,,,,,,,
1.71,0.5803365,0.8051,0.766649187,0.8772,0.818207257,0.267,,,,,,,,
1.69,0.5861102,0.8045,0.764736568,0.8796,0.818156451,0.2706,,,,,,,,
1.7,0.582646,0.8048,0.765875785,0.878,0.818114051,0.2684,,,,,,,,
1.52,0.63625866,0.8008,0.752858104,0.8956,0.818048959,0.294,,,,,,,,
1.66,0.59683275,0.8036,0.762176166,0.8826,0.817979611,0.2754,,,,,,,,
1.85,0.5415704,0.808,0.777677605,0.8626,0.817940451,0.2466,,,,,,,,
1.82,0.55146813,0.8072,0.774874732,0.866,0.817907065,0.2516,,,,,,,,
1.86,0.5389311,0.8082,0.778661844,0.8612,0.817853751,0.2448,,,,,,,,
1.76,0.569449,0.8056,0.769393512,0.8728,0.817841079,0.2616,,,,,,,,
1.8,0.5569119,0.8067,0.773302442,0.8678,0.817830553,0.2544,,,,,,,,
1.73,0.5752227,0.805,0.767356241,0.8754,0.817825112,0.2654,,,,,,,,
1.83,0.5483339,0.8074,0.775942549,0.8644,0.817786187,0.2496,,,,,,,,
1.81,0.55493236,0.8069,0.774164731,0.8666,0.817778617,0.2528,,,,,,,,
1.51,0.639228,0.8003,0.751971807,0.8962,0.817775344,0.2956,,,,,,,,
1.74,0.5734081,0.8051,0.767960653,0.8744,0.817731226,0.2642,,,,,,,,
1.68,0.5899043,0.8038,0.763532269,0.8802,0.817725753,0.2726,,,,,,,,
1.79,0.5602111,0.8062,0.771936057,0.8692,0.817685795,0.2568,,,,,,,,
1.67,0.5935335,0.8034,0.762365963,0.8816,0.817659061,0.2748,,,,,,,,
1.75,0.5706038,0.8052,0.768567406,0.8734,0.817637147,0.263,,,,,,,,
1.72,0.578357,0.8047,0.766859345,0.8756,0.817630031,0.2662,,,,,,,,
1.65,0.5986473,0.803,0.761116856,0.8832,0.817626365,0.2772,,,,,,,,
1.91,0.52540416,0.8091,0.782696177,0.8558,0.817617273,0.2376,,,,,,,,
1.64,0.6011217,0.8026,0.760055002,0.8844,0.817526345,0.2792,,,,,,,,
1.78,0.56334543,0.8057,0.77086656,0.87,0.817438692,0.2586,,,,,,,,
1.5,0.6413725,0.7997,0.751131222,0.8964,0.817361174,0.297,,,,,,,,
1.87,0.53497195,0.808,0.779390421,0.8592,0.817351598,0.2432,,,,,,,,
1.49,0.6438469,0.7995,0.750543751,0.8972,0.817345358,0.2982,,,,,,,,
1.9,0.5273837,0.8085,0.781324093,0.8568,0.817323285,0.2398,,,,,,,,
1.84,0.54519963,0.8071,0.776218744,0.863,0.817312245,0.2488,,,,,,,,
1.77,0.56664467,0.8053,0.77003361,0.8706,0.817234582,0.26,,,,,,,,
1.88,0.5320026,0.808,0.78,0.858,0.817142857,0.242,,,,,,,,
