threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
0.16,0.8151131,0.7454,0.68894364,0.8948,0.778493127,0.404,,,,,,,,,
0.15,0.81543106,0.7452,0.688673438,0.895,0.778396243,0.4046,,,,,,,,,
0.13,0.8167559,0.7448,0.687845304,0.8964,0.778395276,0.4068,,,1.5,0.71331674,0.7569,0.738090825,0.7964,0.766137566,0.2826
0.14,0.81659687,0.7448,0.687960688,0.896,0.778318277,0.4064,,,,,,,,,
0.2,0.81066185,0.7457,0.690140845,0.8918,0.778117093,0.4004,,,,,,,,,
0.17,0.8136294,0.7451,0.688974557,0.8936,0.778058337,0.4034,,,,,,,,,
0.19,0.81145674,0.7455,0.689868523,0.892,0.778020061,0.401,,,,,,,,,
0.18,0.81341743,0.7452,0.689255943,0.893,0.778010106,0.4026,,,,,,,,,
0.12,0.81696784,0.7438,0.686562596,0.8972,0.777874111,0.4096,,,,,,,,,
0.24,0.8072704,0.746,0.691231343,0.8892,0.777816655,0.3972,,,,,,,,,
0.22,0.8081183,0.7457,0.690612878,0.8902,0.777806903,0.3988,,,,,,,,,
0.23,0.8073234,0.7458,0.690838509,0.8898,0.777797203,0.3982,,,,,,,,,
0,0.83779347,0.7395,0.678119887,0.9118,0.777787256,0.4328,,,,,,,,,
0.21,0.80939007,0.7453,0.690007746,0.8908,0.77765168,0.4002,,,,,,,,,
0.11,0.81702083,0.7425,0.684298526,0.9004,0.777614647,0.4154,,,,,,,,,
0.25,0.8044089,0.7458,0.691313823,0.8882,0.777485994,0.3966,,,,,,,,,
0.01,0.83673364,0.7392,0.678082192,0.9108,0.777398429,0.4324,,,,,,,,,
0.08,0.82613534,0.7404,0.680588942,0.906,0.777282086,0.4252,,,,,,,,,
0.07,0.8288909,0.7401,0.68012003,0.9066,0.777196742,0.4264,,,,,,,,,
0.26,0.80319005,0.7456,0.691336865,0.8874,0.777193904,0.3962,,,,,,,,,
0.02,0.83519685,0.739,0.677986297,0.9104,0.777189688,0.4324,,,,,,,,,
0.03,0.8349849,0.7392,0.678400955,0.9096,0.777170198,0.4312,,,,,,,,,
0.27,0.80319005,0.7456,0.69145619,0.887,0.777115823,0.3958,,,,,,,,,
0.04,0.83281225,0.7392,0.678614098,0.9088,0.777017784,0.4304,,,,,,,,,
0.05,0.8312755,0.7393,0.678929266,0.908,0.776931633,0.4294,,,,,,,,,
0.06,0.8294738,0.7393,0.679250936,0.9068,0.776702355,0.4282,,,,,,,,,
0.44,0.79248583,0.7475,0.69621056,0.8782,0.776687008,0.3832,,,,,,,,,
0.45,0.7922739,0.7476,0.696445573,0.8778,0.776676694,0.3826,,,,,,,,,
0.09,0.82216096,0.74,0.680722892,0.904,0.776632302,0.424,,,,,,,,,
0.41,0.7951354,0.7466,0.694602273,0.8802,0.776464361,0.387,,,,,,,,,
0.46,0.79126704,0.7475,0.696584591,0.877,0.776449757,0.382,,,,,,,,,
0.47,0.79089606,0.7476,0.69682035,0.8766,0.776439327,0.3814,,,,,,,,,
0.28,0.8013884,0.745,0.691226975,0.8856,0.776433456,0.3956,,,,,,,,,
0.1,0.81855756,0.7401,0.681262268,0.9024,0.776391637,0.4222,,,,,,,,,
0.48,0.7896243,0.7477,0.697119211,0.876,0.776389258,0.3806,,,,,,,,,
0.49,0.78930634,0.7478,0.697355846,0.8756,0.776378791,0.38,,,,,,,,,
0.43,0.7930157,0.747,0.695659062,0.8782,0.776343706,0.3842,,,,,,,,,
0.39,0.79524136,0.7462,0.694102807,0.8804,0.776229942,0.388,,,,,,,,,
0.4,0.79524136,0.7462,0.694164038,0.8802,0.776190476,0.3878,,,,,,,,,
0.35,0.7963542,0.7457,0.693130011,0.8818,0.77616407,0.3904,,,,,,,,,
0.42,0.7937046,0.7465,0.69486166,0.879,0.77615894,0.386,,,,,,,,,
