threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,
1.42,0.94908464,0.8106,0.778315412,0.8686,0.820982987,0.2474,,,,,,,,
1.28,0.9742563,0.8058,0.762354152,0.8886,0.820650166,0.277,,,,,,,,
1.34,0.9648169,0.8074,0.767956764,0.881,0.820603577,0.2662,,,,,,,,
1.41,0.95051485,0.8099,0.7769437,0.8694,0.820575743,0.2496,,1.64,0.87528604,0.8165,0.806033649,0.8336,0.819585095,0.2006
1.43,0.94679636,0.8106,0.779618293,0.866,0.820541975,0.2448,,,,,,,,
1.33,0.96624714,0.8071,0.767275892,0.8816,0.820474639,0.2674,,,,,,,,
1.3,0.97196794,0.8062,0.764238868,0.8856,0.820455809,0.2732,,,,,,,,
1.4,0.95308924,0.8093,0.775226909,0.8712,0.820416235,0.2526,,,,,,,,
1.35,0.96224254,0.8075,0.768840706,0.8794,0.820412352,0.2644,,,,,,,,
1.31,0.96967965,0.8064,0.765327329,0.8838,0.820308149,0.271,,,,,,,,
1.61,0.88901603,0.8163,0.80291132,0.8384,0.820271989,0.2058,,,,,,,,
1.45,0.9402174,0.8109,0.781561311,0.863,0.820264233,0.2412,,,,,,,,
1.51,0.9227689,0.813,0.789600296,0.8534,0.820261438,0.2274,,,,,,,,
1.44,0.94336385,0.8106,0.780527457,0.8642,0.820235383,0.243,,,,,,,,
1.38,0.95795196,0.8084,0.772534464,0.8742,0.820228936,0.2574,,,,,,,,
1.27,0.97482836,0.805,0.760862128,0.8896,0.820210216,0.2796,,,,,,,,
1.29,0.9731121,0.8056,0.762994836,0.8866,0.820166512,0.2754,,,,,,,,
1.39,0.9562357,0.8087,0.773815859,0.8724,0.820156059,0.255,,,,,,,,
1.32,0.96767735,0.8065,0.766105227,0.8824,0.820150572,0.2694,,,,,,,,
1.36,0.96081233,0.8076,0.770014045,0.8772,0.820119671,0.262,,,,,,,,
1.37,0.9596682,0.808,0.771509168,0.8752,0.820089955,0.2592,,,,,,,,
1.57,0.90246,0.8148,0.797430083,0.844,0.820054411,0.2144,,,,,,,,
1.63,0.87871855,0.8166,0.805009634,0.8356,0.820019627,0.2024,,,,,,,,
1.56,0.9061785,0.8144,0.795933735,0.8456,0.820015516,0.2168,,,,,,,,
1.52,0.9181922,0.8132,0.791294643,0.8508,0.81996916,0.2244,,,,,,,,
1.26,0.97597253,0.8045,0.759856631,0.8904,0.819965006,0.2814,,,,,,,,
1.23,0.97883296,0.8035,0.756637916,0.8948,0.819939522,0.2878,,,,,,,,
1.62,0.8835812,0.8162,0.803688052,0.8368,0.819909857,0.2044,,,,,,,,
1.22,0.98083526,0.803,0.75513641,0.8968,0.819893948,0.2908,,,,,,,,
1.55,0.9090389,0.8138,0.79404048,0.8474,0.819852941,0.2198,,,,,,,,
1.46,0.937643,0.8108,0.782442748,0.861,0.819843839,0.2394,,,,,,,,
1.5,0.92620134,0.812,0.78718704,0.8552,0.819785276,0.2312,,,,,,,,
1.6,0.8924485,0.8155,0.801222074,0.8392,0.819771417,0.2082,,,,,,,,
1.25,0.9765446,0.804,0.758855586,0.8912,0.819720383,0.2832,,,,,,,,
1.21,0.98140734,0.8025,0.753988245,0.898,0.819717024,0.293,,,,,,,,
0.96,0.9945652,0.7959,0.734209277,0.9276,0.819651851,0.3358,,,,,,,,
0.97,0.9942792,0.7961,0.73481364,0.9266,0.819637329,0.3344,,,,,,,,
0.91,0.99570936,0.7946,0.730660821,0.9332,0.819603021,0.344,,,,,,,,
1.64,0.87528604,0.8165,0.806033649,0.8336,0.819585095,0.2006,,,,,,,,
1.24,0.97797483,0.8034,0.757380387,0.8928,0.819533688,0.286,,,,,,,,
0.93,0.9954233,0.7949,0.731657502,0.9314,0.819533656,0.3416,,,,,,,,
1.54,0.9118993,0.8132,0.79271028,0.8482,0.819516908,0.2218,,,,,,,,
