threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
0.94,0.8756614,0.8122,0.771383866,0.8874,0.825334821,0.263
0.93,0.8835979,0.8116,0.769736842,0.8892,0.825167038,0.266
1.33,0.6481481,0.8236,0.818128195,0.8322,0.825104105,0.185
1.32,0.65343916,0.8233,0.816898647,0.8334,0.825066825,0.1868
0.96,0.86243385,0.8124,0.773076923,0.8844,0.825,0.2596
1.34,0.6455026,0.8236,0.818503937,0.8316,0.825,0.1844
0.95,0.8677249,0.8121,0.772196058,0.8854,0.824932451,0.2612
0.92,0.9021164,0.8109,0.768063459,0.8908,0.824891194,0.269
1.35,0.64021164,0.8237,0.819545903,0.8302,0.824838549,0.1828
1.31,0.65873015,0.8228,0.8157277,0.834,0.824762658,0.1884
1,0.83862436,0.8134,0.777541622,0.878,0.824722901,0.2512
1,0.83862436,0.8134,0.777541622,0.878,0.824722901,0.2512
0.97,0.86243385,0.8124,0.774035088,0.8824,0.824672897,0.2576
1.27,0.6851852,0.8216,0.810784693,0.839,0.824651071,0.1958
1.3,0.6666667,0.8224,0.814352574,0.8352,0.82464455,0.1904
1.21,0.7195767,0.8203,0.805222032,0.845,0.824631599,0.2044
1.28,0.6798942,0.8219,0.812221145,0.8374,0.824618415,0.1936
0.98,0.86243385,0.8127,0.775312555,0.8806,0.824609046,0.2552
1.29,0.67460316,0.822,0.812986003,0.8364,0.824526814,0.1924
0.91,0.9047619,0.8101,0.766638005,0.8916,0.824410541,0.2714
1.36,0.6322751,0.8235,0.820233617,0.8286,0.824395583,0.1816
1.37,0.61904764,0.8236,0.820904403,0.8278,0.824337781,0.1806
1.26,0.6931217,0.8211,0.809882262,0.8392,0.824280523,0.197
0.99,0.8544974,0.8126,0.77595339,0.879,0.824268567,0.2538
1.05,0.8095238,0.8145,0.783078308,0.87,0.824253908,0.241
1.12,0.7804233,0.817,0.793192749,0.8576,0.824139919,0.2236
0.9,0.9100529,0.8093,0.764766307,0.8934,0.824093718,0.2748
1.15,0.7592593,0.818,0.797418631,0.8526,0.824086604,0.2166
1.22,0.7195767,0.8199,0.805539637,0.8434,0.824035173,0.2036
1.03,0.8148148,0.8137,0.780741006,0.8724,0.82402947,0.245
1.04,0.8095238,0.8139,0.781726799,0.871,0.823952322,0.2432
1.38,0.6111111,0.8235,0.821890547,0.826,0.82394015,0.179
1.06,0.8042328,0.8146,0.784448463,0.8676,0.823931624,0.2384
1.2,0.7248677,0.8192,0.802961276,0.846,0.823918972,0.2076
1.01,0.82539684,0.8128,0.777896233,0.8756,0.823861498,0.25
1.14,0.76455027,0.8175,0.796120127,0.8536,0.823858701,0.2186
1.17,0.74867725,0.8183,0.799548278,0.8496,0.823814603,0.213
1.16,0.75661373,0.8179,0.798049878,0.8512,0.823768509,0.2154
0.88,0.9206349,0.8083,0.762293687,0.896,0.823756551,0.2794
0.89,0.91534394,0.8086,0.763490437,0.8942,0.823691968,0.277
1.24,0.7089947,0.8201,0.807610994,0.8404,0.82367931,0.2002
1.25,0.6957672,0.8203,0.808514737,0.8394,0.823667942,0.1988
1.08,0.7910053,0.8151,0.787237922,0.8636,0.823652837,0.2334
1.19,0.73015875,0.8186,0.801704545,0.8466,0.823540856,0.2094
1.13,0.7751323,0.8167,0.793948394,0.8554,0.823529412,0.222
1.09,0.7830688,0.8154,0.788827839,0.8614,0.823518164,0.2306
1.11,0.7830688,0.816,0.791190564,0.8586,0.823518128,0.2266
1.07,0.7962963,0.8145,0.785442004,0.8654,0.823484632,0.2364
1.23,0.7169312,0.8195,0.805858702,0.8418,0.823437347,0.2028
0.79,0.94973546,0.805,0.752483444,0.909,0.823369565,0.299
1.02,0.8201058,0.8127,0.779146581,0.8728,0.823318555,0.2474
1.18,0.7407407,0.818,0.8,0.848,0.823300971,0.212
0.87,0.9232804,0.8073,0.760379597,0.8974,0.823227227,0.2828
0.85,0.93121696,0.8067,0.758469577,0.9,0.823195829,0.2866
