threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
1.3,0.95454544,0.8179,0.783991424,0.8776,0.828158913,0.2418
1.24,0.95454544,0.8156,0.775681342,0.888,0.828049235,0.2568
1.23,0.95454544,0.8152,0.774277758,0.8898,0.828029034,0.2594
1.21,0.95454544,0.8144,0.771878243,0.8926,0.82786125,0.2638
1.27,0.95454544,0.8165,0.779741913,0.8822,0.827812705,0.2492
1.26,0.95454544,0.8161,0.778502203,0.8836,0.827728337,0.2514
1.22,0.95454544,0.8144,0.772632674,0.891,0.827605424,0.2622
1.19,0.95454544,0.8134,0.769243986,0.8954,0.82754159,0.2686
1.25,0.95454544,0.8154,0.776569625,0.8856,0.827508877,0.2548
1.31,0.95454544,0.8176,0.785098743,0.8746,0.82743614,0.2394
1.29,0.95454544,0.8166,0.781672598,0.8786,0.827306968,0.2454
1.28,0.95454544,0.8163,0.78065661,0.8798,0.827268453,0.2472
1.15,0.95454544,0.8117,0.764107778,0.9018,0.827263554,0.2784
1.2,0.95454544,0.8134,0.770172414,0.8934,0.827222222,0.2666
1.32,0.95454544,0.8176,0.785920058,0.873,0.827174531,0.2378
1.33,0.95454544,0.818,0.787522604,0.871,0.827160494,0.235
1.13,0.95454544,0.8109,0.761832575,0.9046,0.827100667,0.2828
1.18,0.95454544,0.8124,0.767374187,0.8966,0.826969194,0.2718
1.35,0.95454544,0.8183,0.789521557,0.868,0.826902925,0.2314
1.14,0.95454544,0.8108,0.7625,0.9028,0.826739927,0.2812
1.16,0.95454544,0.8115,0.764926008,0.8994,0.826730398,0.2764
1.41,0.95454544,0.8205,0.79914131,0.8562,0.826687265,0.2152
1.12,0.95454544,0.8101,0.760282021,0.9058,0.826686137,0.2856
1.17,0.95454544,0.8118,0.766222678,0.8974,0.826639646,0.2738
1.11,0.95454544,0.8097,0.759249958,0.907,0.826574319,0.2876
1.36,0.95454544,0.8184,0.791042048,0.8654,0.826552053,0.2286
1.34,0.95454544,0.8175,0.787746964,0.8692,0.826471427,0.2342
1.1,0.95454544,0.8092,0.757924591,0.9086,0.826450791,0.2902
1.4,0.95454544,0.8199,0.797692165,0.8572,0.826376169,0.2174
1.07,0.95454544,0.8081,0.754586019,0.9132,0.826350557,0.297
1.39,0.95454544,0.8194,0.79595997,0.859,0.826279338,0.2202
1.42,0.95454544,0.8204,0.800337458,0.8538,0.826204761,0.213
1.38,0.95454544,0.819,0.794606576,0.8604,0.826195506,0.2224
1.37,0.95454544,0.8184,0.792432035,0.8628,0.82612026,0.226
1.06,0.95454544,0.8075,0.753336629,0.9144,0.826090884,0.2994
1.05,0.95454544,0.8071,0.752093252,0.9162,0.826075196,0.302
1.09,0.95454544,0.8082,0.756320692,0.9094,0.825826371,0.293
1.08,0.95454544,0.8078,0.755139257,0.911,0.82577955,0.2954
1.43,0.9318182,0.8201,0.800902425,0.852,0.825661401,0.2118
1.04,0.95454544,0.806,0.750245339,0.9174,0.825445384,0.3054
1.02,0.97727275,0.8049,0.747443597,0.921,0.825194875,0.3112
1.44,0.9318182,0.8201,0.802494802,0.8492,0.825187057,0.209
1.01,0.97727275,0.8045,0.746239689,0.9228,0.825181078,0.3138
1.03,0.97727275,0.8051,0.74849324,0.919,0.825029177,0.3088
1,0.97727275,0.8038,0.744684278,0.9246,0.824946467,0.317
1,0.97727275,0.8038,0.744684278,0.9246,0.824946467,0.317
1.53,0.90909094,0.8227,0.814706456,0.8354,0.824923472,0.19
1.45,0.90909094,0.82,0.803490137,0.8472,0.824766355,0.2072
1.46,0.90909094,0.8205,0.805762259,0.8446,0.824724148,0.2036
1.55,0.90909094,0.823,0.817039654,0.8324,0.824648306,0.1864
1.54,0.90909094,0.8227,0.815691645,0.8338,0.824646425,0.1884
0.98,1,0.8027,0.742198752,0.9276,0.824606632,0.3222
1.52,0.90909094,0.8222,0.813668224,0.8358,0.824585635,0.1914
