self_radius,self_count,uc,accuracy,precision,recall,f1,far,,,,,,,,,
0.43,4,0.914327917,0.7783,0.874764342,0.6496,0.745552623,0.093,,0.43,4,0.914327917,0.7783,0.874764342,0.6496,0.745552623,0.093
0.52,3,0.908419498,0.7703,0.85463133,0.6514,0.739303144,0.1108,,,,,,,,,
0.32,11,0.912850812,0.7622,0.828078078,0.6618,0.735660293,0.1374,,,,,,,,,
0.34,9,0.899556869,0.7721,0.881626928,0.6286,0.733917104,0.0844,,,,,,,,,
0.3,15,0.906942393,0.7622,0.833418108,0.6554,0.733766234,0.131,,,,,,,,,
0.43,3,0.912850812,0.7606,0.827058233,0.659,0.733526269,0.1378,,,,,,,,,
0.41,5,0.906942393,0.7701,0.873375726,0.6318,0.73320181,0.0916,,,,,,,,,
0.29,6,0.912850812,0.7591,0.822023366,0.6614,0.733015627,0.1432,,,,,,,,,
0.31,9,0.912850812,0.7604,0.828621908,0.6566,0.732648962,0.1358,,,,,,,,,
0.22,6,0.896602659,0.7514,0.795070423,0.6774,0.731533477,0.1746,,,,,,,,,
0.24,5,0.909896603,0.7578,0.824521652,0.655,0.730049041,0.1394,,,,,,,,,
0.39,2,0.901033973,0.769,0.88145207,0.6216,0.729064039,0.0836,,,,,,,,,
0.25,9,0.914327917,0.753,0.808386153,0.6632,0.72863107,0.1572,,,,,,,,,
0.27,8,0.865583456,0.7582,0.83324729,0.6456,0.727518594,0.1292,,,,,,,,,
0.27,14,0.856720827,0.7652,0.876704545,0.6172,0.724413146,0.0868,,,,,,,,,
0.4,3,0.912850812,0.7491,0.804002929,0.6588,0.724194789,0.1606,,,,,,,,,
0.37,14,0.909896603,0.7524,0.817404427,0.65,0.724153298,0.1452,,,,,,,,,
0.37,8,0.890694239,0.7605,0.855582856,0.6268,0.723536881,0.1058,,,,,,,,,
0.23,15,0.901033973,0.7541,0.828209765,0.6412,0.722804644,0.133,,,,,,,,,
0.31,4,0.906942393,0.7537,0.828201811,0.6402,0.722165821,0.1328,,,,,,,,,
0.3,6,0.903988183,0.7579,0.848043185,0.6284,0.721883975,0.1126,,,,,,,,,
0.25,7,0.914327917,0.7426,0.787577051,0.6644,0.720763723,0.1792,,,,,,,,,
0.22,9,0.914327917,0.738,0.775590551,0.6698,0.718823782,0.1938,,,,,,,,,
0.21,5,0.912850812,0.7348,0.769266055,0.6708,0.716666667,0.2012,,,,,,,,,
0.44,5,0.899556869,0.7564,0.858100559,0.6144,0.716083916,0.1016,,,,,,,,,
0.22,13,0.912850812,0.7381,0.78204217,0.6602,0.715974406,0.184,,,,,,,,,
0.29,13,0.875923191,0.7569,0.86111892,0.6126,0.715905107,0.0988,,,,,,,,,
0.22,8,0.909896603,0.734,0.771461717,0.665,0.714285714,0.197,,,,,,,,,
0.38,2,0.917282127,0.735,0.775433662,0.6616,0.714008202,0.1916,,,,,,,,,
0.32,3,0.908419498,0.7412,0.798662704,0.645,0.713653463,0.1626,,,,,,,,,
0.27,4,0.914327917,0.7388,0.792217327,0.6474,0.712524763,0.1698,,,,,,,,,
0.3,11,0.864106352,0.759,0.883136095,0.597,0.712410501,0.079,,,,,,,,,
0.33,12,0.88774003,0.7516,0.846938776,0.6142,0.712033387,0.111,,,,,,,,,
0.26,6,0.912850812,0.7302,0.765819861,0.6632,0.710825295,0.2028,,,,,,,,,
0.21,14,0.912850812,0.7276,0.761849977,0.6622,0.708538412,0.207,,,,,,,,,
0.22,5,0.906942393,0.7378,0.799496222,0.6348,0.707692308,0.1592,,,,,,,,,
0.23,9,0.852289513,0.7434,0.823326249,0.6198,0.707211319,0.133,,,,,,,,,
0.28,4,0.914327917,0.7236,0.752256318,0.6668,0.706955047,0.2196,,,,,,,,,
0.24,9,0.903988183,0.729,0.77004717,0.653,0.706709957,0.195,,,,,,,,,
0.22,14,0.914327917,0.7221,0.749943732,0.6664,0.705707932,0.2222,,,,,,,,,
0.21,15,0.914327917,0.7225,0.75198188,0.664,0.705257568,0.219,,,,,,,,,
0.22,3,0.905465288,0.7152,0.731099656,0.6808,0.705053853,0.2504,,,,,,,,,
0.2,14,0.914327917,0.7223,0.752556237,0.6624,0.704605893,0.2178,,,,,,,,,
0.21,4,0.915805022,0.713,0.726210705,0.6838,0.704367532,0.2578,,,,,,,,,
0.38,3,0.812407681,0.7477,0.850551939,0.601,0.704324388,0.1056,,,,,,,,,
0.24,13,0.880354505,0.7447,0.841283124,0.6032,0.70262085,0.1138,,,,,,,,,
0.2,10,0.917282127,0.7172,0.741119005,0.6676,0.702441077,0.2332,,,,,,,,,
0.22,11,0.890694239,0.7329,0.793103448,0.6302,0.70232921,0.1644,,,,,,,,,
0.33,4,0.800590842,0.7482,0.863077823,0.59,0.700879069,0.0936,,,,,,,,,
0.26,5,0.909896603,0.7246,0.767508337,0.6444,0.700587084,0.1952,,,,,,,,,
0.21,9,0.893648449,0.7352,0.80625,0.6192,0.700452489,0.1488,,,,,,,,,
0.29,4,0.875923191,0.7333,0.800102907,0.622,0.699898728,0.1554,,,,,,,,,
0.3,9,0.872968981,0.7417,0.836348455,0.601,0.699406494,0.1176,,,,,,,,,
0.19,13,0.917282127,0.7135,0.737380476,0.6632,0.698325787,0.2362,,,,,,,,,
0.19,12,0.88774003,0.731,0.796153846,0.621,0.697752809,0.159,,,,,,,,,
0.27,5,0.886262925,0.7312,0.797478127,0.6198,0.697501688,0.1574,,,,,,,,,
0.23,14,0.914327917,0.711,0.733820922,0.6622,0.696173255,0.2402,,,,,,,,,
0.26,4,0.8788774,0.7291,0.793642656,0.6192,0.695652174,0.161,,,,,,,,,
0.23,7,0.906942393,0.7156,0.748272685,0.6498,0.695568401,0.2186,,,,,,,,,
0.3,4,0.883308715,0.7301,0.799219766,0.6146,0.694855851,0.1544,,,,,,,,,
0.27,3,0.914327917,0.7081,0.728330042,0.6638,0.694569426,0.2476,,,,,,,,,
0.16,13,0.912850812,0.7062,0.723450368,0.6676,0.694403994,0.2552,,,,,,,,,
0.28,8,0.816838996,0.7394,0.847560976,0.5838,0.691378494,0.105,,,,,,,,,
0.24,4,0.914327917,0.7012,0.716530349,0.6658,0.690234294,0.2634,,,,,,,,,
0.25,4,0.870014771,0.7287,0.805340454,0.6032,0.68976558,0.1458,,,,,,,,,
0.32,10,0.745937962,0.7515,0.921273032,0.55,0.688791484,0.047,,,,,,,,,
0.2,15,0.914327917,0.6978,0.711054204,0.6664,0.688003304,0.2708,,,,,,,,,
0.26,12,0.914327917,0.6978,0.711777302,0.6648,0.687487073,0.2692,,,,,,,,,
0.33,2,0.908419498,0.7055,0.733363616,0.6458,0.686802084,0.2348,,,,,,,,,
0.39,3,0.911373708,0.7009,0.721401807,0.6546,0.686379365,0.2528,,,,,,,,,
0.25,6,0.719350074,0.7392,0.861985472,0.5696,0.685934489,0.0912,,,,,,,,,
0.27,15,0.905465288,0.7076,0.742296919,0.636,0.685049548,0.2208,,,,,,,,,
0.29,3,0.914327917,0.6894,0.695096827,0.6748,0.684798052,0.296,,,,,,,,,
0.27,7,0.914327917,0.6931,0.704252168,0.6658,0.684486481,0.2796,,,,,,,,,
0.38,4,0.837518464,0.734,0.841905319,0.5762,0.684160532,0.1082,,,,,,,,,
0.32,5,0.903988183,0.6952,0.714317084,0.6506,0.680971321,0.2602,,,,,,,,,
