self_radius,self_count,uc,accuracy,precision,recall,f1,far
0.33,5,0.907375643,0.7771,0.862032924,0.6598,0.747479325,0.1056
0.35,3,0.890222985,0.7747,0.857403071,0.659,0.74522221,0.1096
0.28,5,0.890222985,0.7722,0.857217848,0.6532,0.741430193,0.1088
0.36,4,0.874785592,0.7731,0.86384226,0.6484,0.740774592,0.1022
0.23,9,0.898799314,0.7576,0.813534567,0.6684,0.733860343,0.1532
0.26,9,0.910806175,0.7594,0.821198613,0.6632,0.733790662,0.1444
0.28,13,0.910806175,0.7607,0.826773627,0.6596,0.733785738,0.1382
0.28,9,0.895368782,0.7604,0.826315789,0.6594,0.733481646,0.1386
0.27,15,0.903945111,0.7601,0.826512679,0.6584,0.732939998,0.1382
0.27,13,0.885077187,0.7571,0.824867324,0.6528,0.728815452,0.1386
0.25,14,0.910806175,0.7512,0.805298979,0.6626,0.727013386,0.1602
0.39,10,0.895368782,0.7512,0.809207287,0.6574,0.725446921,0.155
0.4,2,0.873070326,0.7533,0.819904016,0.6492,0.724634446,0.1426
0.26,4,0.893653516,0.7452,0.788606403,0.67,0.724480969,0.1796
0.29,9,0.873070326,0.7581,0.841673286,0.6358,0.724393301,0.1196
0.27,6,0.881646655,0.7614,0.858082192,0.6264,0.72416185,0.1036
0.44,4,0.782161235,0.7634,0.870568374,0.6188,0.723404255,0.092
0.24,14,0.910806175,0.7452,0.791904762,0.6652,0.723043478,0.1748
0.4,3,0.883361921,0.767,0.893109541,0.6066,0.722486899,0.0726
0.26,7,0.912521441,0.743,0.786962683,0.6664,0.721680745,0.1804
0.26,10,0.885077187,0.7469,0.802647708,0.6548,0.721224804,0.161
0.29,11,0.895368782,0.7466,0.802057815,0.6548,0.720986567,0.1616
0.27,14,0.905660377,0.743,0.790530846,0.6612,0.720104552,0.1752
0.33,4,0.838765009,0.7533,0.833026558,0.6336,0.719754629,0.127
0.31,4,0.910806175,0.7419,0.788732394,0.6608,0.719120688,0.177
0.26,12,0.912521441,0.7397,0.782066369,0.6646,0.718564169,0.1852
0.22,9,0.910806175,0.7387,0.779442753,0.6658,0.718153382,0.1884
0.46,4,0.809605489,0.7589,0.872517986,0.6064,0.715516224,0.0886
0.22,12,0.910806175,0.7333,0.771342173,0.6632,0.713194967,0.1966
0.23,6,0.864493997,0.744,0.81233999,0.6346,0.712553335,0.1466
0.3,10,0.862778731,0.7537,0.855820477,0.6102,0.712434326,0.1028
0.3,8,0.77186964,0.7501,0.840272109,0.6176,0.711930836,0.1174
0.32,13,0.876500858,0.745,0.823218997,0.624,0.709897611,0.134
0.31,13,0.874785592,0.7508,0.855039638,0.604,0.707923113,0.1024
0.24,12,0.866209262,0.7358,0.792265741,0.6392,0.707549258,0.1676
0.32,14,0.876500858,0.7475,0.84137931,0.61,0.707246377,0.115
0.26,14,0.866209262,0.7455,0.833469166,0.6136,0.70683101,0.1226
0.23,15,0.807890223,0.7429,0.823953054,0.6178,0.706137844,0.132
0.29,7,0.895368782,0.7361,0.79833207,0.6318,0.705370102,0.1596
0.19,10,0.905660377,0.7211,0.749717642,0.6638,0.704147661,0.2216
0.3,11,0.87135506,0.7425,0.828323856,0.6118,0.703784654,0.1268
0.22,13,0.879931389,0.7395,0.818061089,0.616,0.702795208,0.137
0.21,5,0.914236707,0.7115,0.725720384,0.68,0.702116675,0.257
0.24,8,0.895368782,0.7316,0.790808639,0.6298,0.701180138,0.1666
0.31,3,0.780445969,0.7502,0.872987478,0.5856,0.700981566,0.0852
0.22,7,0.878216123,0.7325,0.801869644,0.6176,0.697774263,0.1526
0.21,4,0.909090909,0.7065,0.71963412,0.6766,0.697453871,0.2636
0.23,10,0.855917667,0.7291,0.794851995,0.6176,0.695104108,0.1594
0.21,12,0.89193825,0.723,0.773284314,0.631,0.694933921,0.185
0.37,2,0.910806175,0.7087,0.729491973,0.6634,0.694877972,0.246
0.45,1,0.897084048,0.7091,0.731458933,0.6608,0.694336451,0.2426
0.21,10,0.912521441,0.7013,0.714285714,0.671,0.691966588,0.2684
0.42,2,0.770154374,0.7445,0.872599817,0.5726,0.691462384,0.0836
0.32,6,0.67238422,0.7452,0.877928483,0.5696,0.690926735,0.0792
0.3,3,0.912521441,0.7005,0.714255183,0.6684,0.690567207,0.2674
0.3,4,0.902229846,0.7059,0.729542921,0.6544,0.689931471,0.2426
0.27,4,0.912521441,0.6999,0.714438962,0.666,0.68936963,0.2662
0.24,13,0.910806175,0.6996,0.714900947,0.664,0.688510991,0.2648
0.25,11,0.747855918,0.7374,0.852853746,0.5738,0.68603539,0.099
0.25,13,0.903945111,0.698,0.714564369,0.6594,0.685874766,0.2634
0.26,13,0.795883362,0.7341,0.838197053,0.5802,0.685734547,0.112
0.35,8,0.730703259,0.7513,0.931935373,0.5422,0.68554811,0.0396
0.32,4,0.82161235,0.7388,0.864691509,0.5662,0.684312304,0.0886
0.41,3,0.76329331,0.7324,0.83429229,0.58,0.68428504,0.1152
0.29,14,0.797598628,0.7373,0.858134621,0.5686,0.683988933,0.094
0.33,3,0.90051458,0.6944,0.708404803,0.6608,0.683774834,0.272
0.23,12,0.898799314,0.7042,0.735036832,0.6386,0.683433219,0.2302
0.21,9,0.886792453,0.7021,0.729502612,0.6424,0.683186217,0.2382
0.25,7,0.903945111,0.6943,0.709600863,0.6578,0.682719253,0.2692
0.32,10,0.804459691,0.7366,0.859137826,0.566,0.682421027,0.0928
0.11,16,0.902229846,0.6874,0.693835333,0.6708,0.682123246,0.296
0.34,3,0.902229846,0.6884,0.696331805,0.6682,0.681975913,0.2914
0.32,2,0.910806175,0.6852,0.689831898,0.673,0.681312006,0.3026
0.35,2,0.905660377,0.6867,0.693712388,0.6686,0.680924738,0.2952
0.2,15,0.912521441,0.6863,0.693860562,0.6668,0.680061193,0.2942
0.27,3,0.912521441,0.6838,0.688474159,0.6714,0.679829891,0.3038
0.28,10,0.833619211,0.7172,0.784293194,0.5992,0.679365079,0.1648
0.24,9,0.912521441,0.6858,0.69427018,0.664,0.678797792,0.2924
0.29,3,0.910806175,0.682,0.685790118,0.6718,0.678722974,0.3078
0.22,15,0.912521441,0.6839,0.690728065,0.666,0.678138682,0.2982
0.27,5,0.910806175,0.6838,0.690980881,0.665,0.677741541,0.2974
0.18,14,0.912521441,0.6837,0.690996049,0.6646,0.677541034,0.2972
0.29,2,0.914236707,0.6614,0.646887514,0.7108,0.677339432,0.388
0.25,3,0.912521441,0.6719,0.666537493,0.688,0.677098711,0.3442
0.25,4,0.912521441,0.6798,0.682946683,0.6712,0.677022393,0.3116
0.33,2,0.910806175,0.6756,0.674830745,0.6778,0.676312113,0.3266
0.19,9,0.909090909,0.6804,0.685596708,0.6664,0.675862069,0.3056
0.22,4,0.915951973,0.6671,0.658810112,0.6932,0.675567683,0.359
0.21,6,0.888507719,0.6824,0.690794979,0.6604,0.675255624,0.2956
0.24,7,0.912521441,0.6773,0.680146312,0.6694,0.67473037,0.3148
0.19,7,0.903945111,0.6749,0.675567155,0.673,0.674281134,0.3232
0.24,4,0.843910806,0.7038,0.749266145,0.6126,0.674075704,0.205
0.38,2,0.785591767,0.7202,0.807885906,0.5778,0.673740672,0.1374
0.01,96,0.888507719,0.6387,0.614193973,0.746,0.673710828,0.4686
0.23,13,0.902229846,0.6787,0.684569304,0.6628,0.67350879,0.3054
0.23,11,0.912521441,0.6757,0.678448101,0.668,0.673183513,0.3166
0.21,11,0.909090909,0.6874,0.705302366,0.6438,0.67314931,0.269
0.2,9,0.883361921,0.6876,0.706790123,0.6412,0.672399329,0.266
0.25,6,0.799313894,0.7258,0.836011905,0.5618,0.672009569,0.1102
0.2,8,0.910806175,0.6736,0.675993512,0.6668,0.671365284,0.3196
0.17,15,0.838765009,0.7061,0.76201373,0.5994,0.670995186,0.1872
0.18,5,0.910806175,0.669,0.66706208,0.6748,0.670908729,0.3368
0.2,11,0.878216123,0.6793,0.691928923,0.6464,0.668390032,0.2878
0.25,10,0.87135506,0.6996,0.746541502,0.6044,0.667992927,0.2052
0.31,5,0.79245283,0.7273,0.854823603,0.5476,0.667560649,0.093
0.41,12,0.665523156,0.7407,0.930282445,0.5204,0.667436193,0.039
0.14,5,0.915951973,0.6488,0.633957508,0.7042,0.667235171,0.4066
0.16,7,0.912521441,0.6537,0.642235795,0.694,0.667115255,0.3866
0.23,4,0.912521441,0.6667,0.66660004,0.667,0.66679996,0.3336
0.01,1,1,0.5,0.5,1,0.666666667,1
0.01,2,1,0.5,0.5,1,0.666666667,1
0.02,1,1,0.5,0.5,1,0.666666667,1
0.02,2,1,0.5,0.5,1,0.666666667,1
0.03,1,1,0.5,0.5,1,0.666666667,1
0.03,2,1,0.5,0.5,1,0.666666667,1
0.04,1,1,0.5,0.5,1,0.666666667,1
0.04,2,1,0.5,0.5,1,0.666666667,1
0.05,1,1,0.5,0.5,1,0.666666667,1
0.05,2,1,0.5,0.5,1,0.666666667,1
0.06,1,1,0.5,0.5,1,0.666666667,1
0.06,2,1,0.5,0.5,1,0.666666667,1
0.07,1,1,0.5,0.5,1,0.666666667,1
0.08,1,1,0.5,0.5,1,0.666666667,1
0.01,3,0.998284734,0.4999,0.499949995,0.9998,0.666577772,1
0.09,1,1,0.4999,0.499949995,0.9998,0.666577772,1
0.02,3,0.998284734,0.4995,0.499749875,0.999,0.666222074,1
0.07,2,0.998284734,0.4994,0.49969982,0.9988,0.66613312,1
0.11,1,0.994854202,0.5007,0.500351723,0.9958,0.666042405,0.9944
0.01,4,0.994854202,0.4992,0.49959968,0.9984,0.665955176,1
0.03,3,0.996569468,0.4991,0.499549595,0.9982,0.665866186,1
0.08,2,0.994854202,0.4991,0.499549324,0.9976,0.665732399,0.9994
0.19,12,0.912521441,0.6647,0.664011153,0.6668,0.665402654,0.3374
0.1,1,0.996569468,0.4983,0.49914804,0.996,0.665019697,0.9994
0.09,2,0.996569468,0.5003,0.500151286,0.9918,0.664968153,0.9912
0.17,12,0.833619211,0.6977,0.745712155,0.6,0.664967306,0.2046
0.34,6,0.471698113,0.7326,0.892110587,0.5292,0.664323374,0.064
0.27,8,0.72212693,0.7212,0.834745763,0.5516,0.664258189,0.1092
0.04,3,0.996569468,0.4972,0.498595506,0.994,0.664083378,0.9996
0.12,1,0.989708405,0.5005,0.50025337,0.9872,0.664020986,0.9862
0.05,3,0.993138937,0.4975,0.498742834,0.9918,0.663722144,0.9968
0.1,2,0.994854202,0.4982,0.499090909,0.9882,0.663221477,0.9918
0.26,15,0.806174957,0.7042,0.769962983,0.5824,0.663174675,0.174
0.01,7,0.994854202,0.4969,0.498439859,0.9904,0.663140275,0.9966
0.13,1,0.987993139,0.5027,0.501383055,0.9788,0.663098706,0.9734
0.01,5,0.991423671,0.4978,0.49888844,0.9874,0.662862513,0.9918
0.43,2,0.720411664,0.7325,0.896351858,0.5258,0.662800958,0.0608
0.02,10,0.991423671,0.4978,0.498887765,0.9868,0.662726662,0.9912
0.11,2,0.982847341,0.5076,0.503959983,0.9672,0.662647301,0.952
0.14,1,0.984562607,0.5025,0.501283499,0.9764,0.66246014,0.9714
0.29,4,0.787307033,0.7163,0.817807817,0.5566,0.662382482,0.124
0.18,10,0.890222985,0.6673,0.672509796,0.6522,0.662199208,0.3176
0.36,2,0.912521441,0.6587,0.655496767,0.669,0.662179551,0.3516
0.01,8,0.989708405,0.4996,0.499796085,0.9804,0.662074554,0.9812
0.17,7,0.914236707,0.6499,0.640329526,0.684,0.661444735,0.3842
0.2,6,0.910806175,0.6581,0.655213038,0.6674,0.661250372,0.3512
0.16,1,0.97084048,0.5098,0.505197285,0.9526,0.66024397,0.933
0.26,8,0.785591767,0.6913,0.734378829,0.5994,0.660059465,0.2168
0.22,14,0.912521441,0.6571,0.65441321,0.6658,0.6600575,0.3516
0.07,3,0.987993139,0.4968,0.498366347,0.9762,0.659862106,0.9826
0.19,15,0.861063465,0.6845,0.716092762,0.6114,0.659618082,0.2424
0.02,4,0.989708405,0.4922,0.496066169,0.9836,0.65951455,0.9992
0.19,13,0.885077187,0.6791,0.702464391,0.6214,0.659450281,0.2632
0.36,3,0.734133791,0.7316,0.902083333,0.5196,0.659390863,0.0564
0.04,4,0.994854202,0.493,0.49645749,0.981,0.659274194,0.995
0.15,1,0.97084048,0.5051,0.50267829,0.9572,0.659183252,0.947
