self_radius,self_count,uc,accuracy,precision,recall,f1,far,,,,,,,,,,
0.27,12,0.715578381,0.7735,0.858265654,0.6552,0.743109901,0.1082,,,,,,,,,,
0.25,9,0.729029102,0.773,0.857704403,0.6546,0.742513612,0.1086,,,0.27,12,0.7735,0.858265654,0.6552,0.743109901,0.1082,0.715578381
0.39,8,0.691611641,0.7737,0.867975262,0.6456,0.740451887,0.0982,,,,,,,,,,
0.35,12,0.709708975,0.7686,0.847927461,0.6546,0.738826185,0.1174,,,,,,,,,,
0.29,9,0.709464417,0.7664,0.841538462,0.6564,0.73752809,0.1236,,,,,,,,,,
0.24,12,0.727561751,0.7652,0.836377473,0.6594,0.737418922,0.129,,,,,,,,,,
0.27,10,0.726828075,0.7583,0.821668742,0.6598,0.731891292,0.1432,,,,,,,,,,
0.28,9,0.699926632,0.7604,0.835913313,0.648,0.730058585,0.1272,,,,,,,,,,
0.36,4,0.654927855,0.7612,0.840281397,0.645,0.729803123,0.1226,,,,,,,,,,
0.26,11,0.719002201,0.7532,0.817452357,0.652,0.72541166,0.1456,,,,,,,,,,
0.24,10,0.745659085,0.7458,0.78890456,0.6712,0.725307975,0.1796,,,,,,,,,,
0.27,15,0.688676938,0.7614,0.857690203,0.6268,0.724289346,0.104,,,,,,,,,,
0.27,4,0.746148202,0.7419,0.779782558,0.6742,0.723157782,0.1904,,,,,,,,,,
0.32,4,0.687209587,0.7594,0.853213508,0.6266,0.722555351,0.1078,,,,,,,,,,
0.44,2,0.651993152,0.7531,0.826580645,0.6406,0.721802817,0.1344,,,,,,,,,,
0.3,3,0.741990707,0.7386,0.773122711,0.6754,0.720964987,0.1982,,,,,,,,,,
0.29,3,0.733675715,0.7391,0.775524314,0.673,0.720633901,0.1948,,,,,,,,,,
0.29,8,0.600635852,0.7522,0.832893347,0.631,0.718024579,0.1266,,,,,,,,,,
0.27,8,0.627048178,0.7607,0.875756702,0.6076,0.717440076,0.0862,,,,,,,,,,
0.23,9,0.714844705,0.74,0.786396181,0.659,0.717083787,0.179,,,,,,,,,,
0.26,5,0.721936904,0.7445,0.804028849,0.6466,0.716771976,0.1576,,,,,,,,,,
0.3,4,0.610173637,0.7457,0.81768813,0.6324,0.71320627,0.141,,,,,,,,,,
0.27,7,0.675226217,0.7477,0.827905745,0.6254,0.712544149,0.13,,,,,,,,,,
0.38,2,0.72780631,0.7304,0.763615561,0.6674,0.712273212,0.2066,,,,,,,,,,
0.31,2,0.745414527,0.7245,0.748285777,0.6766,0.710639639,0.2276,,,,,,,,,,
0.26,6,0.73807777,0.7264,0.757389723,0.6662,0.708874229,0.2134,,,,,,,,,,
0.26,8,0.73978968,0.7267,0.759560339,0.6634,0.708231024,0.21,,,,,,,,,,
0.23,5,0.733675715,0.7271,0.760854583,0.6624,0.708221961,0.2082,,,,,,,,,,
0.33,3,0.67302519,0.7402,0.809855521,0.6278,0.707300586,0.1474,,,,,,,,,,
0.26,7,0.645145512,0.7498,0.85523322,0.6014,0.706200094,0.1018,,,,,,,,,,
0.37,3,0.610907312,0.7505,0.85960379,0.5988,0.705882353,0.0978,,,,,,,,,,
0.35,5,0.707507948,0.7289,0.772175981,0.6494,0.705486149,0.1916,,,,,,,,,,
0.34,9,0.598434825,0.7535,0.877344448,0.5894,0.705108267,0.0824,,,,,,,,,,
0.28,11,0.542430912,0.7515,0.869093044,0.5922,0.704412989,0.0892,,,,,,,,,,
0.22,5,0.738566887,0.72,0.746415771,0.6664,0.704142012,0.2264,,,,,,,,,,
0.31,9,0.623135241,0.742,0.826321467,0.6128,0.703720717,0.1288,,,,,,,,,,
0.19,6,0.737099535,0.7165,0.738069057,0.6712,0.703048078,0.2382,,,,,,,,,,
0.32,10,0.70383957,0.7202,0.754272517,0.6532,0.700107181,0.2128,,,,,,,,,,
0.23,10,0.74663732,0.7128,0.733846154,0.6678,0.699267016,0.2422,,,,,,,,,,
0.2,10,0.747615554,0.7096,0.727430556,0.6704,0.697751873,0.2512,,,,,,,,,,
0.2,13,0.651504035,0.7244,0.772594752,0.636,0.697674419,0.1872,,,,,,,,,,
