self_radius,self_count,uc,accuracy,precision,recall,f1,far,,,,,,,,,
0.4,6,0.294376572,0.7731,0.855691586,0.657,0.743296753,0.1108,,0.4,6,0.7731,0.855691586,0.657,0.743296753,0.1108,0.294376572
0.31,11,0.298329141,0.7703,0.845740599,0.6612,0.742170838,0.1206,,,,,,,,,
0.29,9,0.287279914,0.7722,0.856469356,0.654,0.741664777,0.1096,,,,,,,,,
0.27,8,0.298149479,0.7686,0.84120935,0.6622,0.741047449,0.125,,,,,,,,,
0.41,2,0.298868128,0.7656,0.835522991,0.6614,0.73833445,0.1302,,,,,,,,,
0.27,4,0.301922386,0.7606,0.822046466,0.6652,0.735352642,0.144,,,,,,,,,
0.33,5,0.294556234,0.7608,0.827802916,0.6586,0.733570951,0.137,,,,,,,,,
0.34,3,0.281710384,0.7625,0.839410396,0.6492,0.732152927,0.1242,,,,,,,,,
0.33,15,0.281440891,0.7639,0.846052977,0.6452,0.732100306,0.1174,,,,,,,,,
0.36,12,0.271649299,0.7645,0.85126162,0.641,0.731317741,0.112,,,,,,,,,
0.37,8,0.292310456,0.756,0.817933433,0.6586,0.729669843,0.1466,,,,,,,,,
0.44,2,0.293927416,0.7551,0.81595244,0.6588,0.729002988,0.1486,,,,,,,,,
0.24,9,0.303180022,0.7523,0.80715851,0.663,0.72801142,0.1584,,,,,,,,,
0.33,10,0.264642472,0.7685,0.884340109,0.6178,0.727422583,0.0808,,,,,,,,,
0.32,7,0.280093424,0.7621,0.853329738,0.633,0.726834309,0.1088,,,,,,,,,
0.3,15,0.26122889,0.7631,0.870250493,0.6184,0.723021162,0.0922,,,,,,,,,
0.25,14,0.295364714,0.7481,0.80382072,0.6564,0.722668722,0.1602,,,,,,,,,
0.24,13,0.293478261,0.7459,0.798639786,0.6576,0.721289898,0.1658,,,,,,,,,
0.25,10,0.300844413,0.7489,0.814188336,0.645,0.719785738,0.1472,,,,,,,,,
0.19,14,0.311534315,0.7418,0.787994283,0.6616,0.719286801,0.178,,,,,,,,,
0.24,10,0.283237513,0.7438,0.797317073,0.6538,0.718461538,0.1662,,,,,,,,,
0.28,3,0.345220985,0.7341,0.763566764,0.6782,0.718356106,0.21,,,,,,,,,
