self_radius,self_count,uc,accuracy,precision,recall,f1,far,,,,,,,,,
0.41,4,0.387330914,0.7689,0.844655217,0.659,0.740366251,0.1212,,0.41,4,0.7689,0.844655217,0.659,0.740366251,0.1212,0.387330914
0.44,4,0.379247773,0.7724,0.87131952,0.6392,0.737425012,0.0944,,,,,,,,,
0.53,2,0.380732432,0.7661,0.841767275,0.6554,0.736984145,0.1232,,,,,,,,,
0.4,3,0.378917849,0.7567,0.821437516,0.656,0.729456244,0.1426,,,,,,,,,
0.27,10,0.389640383,0.7538,0.80966325,0.6636,0.729391075,0.156,,,,,,,,,
0.31,8,0.388155724,0.7532,0.807580175,0.6648,0.729267222,0.1584,,,,,,,,,
0.28,4,0.399208182,0.754,0.810969638,0.6624,0.729194188,0.1544,,,,,,,,,
0.32,9,0.385681293,0.7551,0.815483552,0.6594,0.729182793,0.1492,,,,,,,,,
0.32,5,0.385021445,0.7538,0.811640472,0.661,0.72861552,0.1534,,,,,,,,,
0.25,13,0.386176179,0.7518,0.806773879,0.6622,0.727372583,0.1586,,,,,,,,,
0.39,3,0.359617288,0.7639,0.860814876,0.6296,0.727272727,0.1018,,,,,,,,,
0.28,6,0.385351369,0.7502,0.804083617,0.6616,0.725916173,0.1612,,,,,,,,,
0.24,11,0.388155724,0.751,0.808657157,0.6576,0.725347452,0.1556,,,,,,,,,
0.3,9,0.372979215,0.7584,0.840537691,0.6378,0.725267228,0.121,,,,,,,,,
0.22,6,0.392114814,0.7469,0.795405599,0.6648,0.724261902,0.171,,,,,,,,,
0.33,14,0.291322996,0.77,0.909587379,0.5996,0.722757956,0.0596,,,,,,,,,
0.37,2,0.351369185,0.7581,0.846815372,0.6302,0.722623552,0.114,,,,,,,,,
0.32,3,0.391619927,0.7427,0.787218935,0.6652,0.721084011,0.1798,,,,,,,,,
0.29,5,0.376278456,0.7476,0.805981216,0.6522,0.720981649,0.157,,,,,,,,,
0.28,11,0.376278456,0.7482,0.813383838,0.6442,0.718973214,0.1478,,,,,,,,,
0.23,14,0.364401188,0.7486,0.815162272,0.643,0.71891771,0.1458,,,,,,,,,
0.27,6,0.386176179,0.7418,0.788957935,0.6602,0.718858885,0.1766,,,,,,,,,
0.34,6,0.362586605,0.7539,0.839166444,0.6282,0.718517671,0.1204,,,,,,,,,
0.35,13,0.385681293,0.7395,0.78236265,0.6636,0.718104101,0.1846,,,,,,,,,
0.36,3,0.3830419,0.7419,0.792361615,0.6556,0.717522163,0.1718,,,,,,,,,
0.25,9,0.3878258,0.7395,0.783969647,0.6612,0.717370077,0.1822,,,,,,,,,
0.26,6,0.381227318,0.7434,0.799017199,0.6504,0.717089305,0.1636,,,,,,,,,
0.21,12,0.401022765,0.7376,0.777959757,0.665,0.717058443,0.1898,,,,,,,,,
0.24,14,0.380897394,0.7462,0.813870474,0.6384,0.715534633,0.146,,,,,,,,,
0.36,4,0.332893435,0.7567,0.862878145,0.6104,0.715005271,0.097,,,,,,,,,
0.42,4,0.350214451,0.7535,0.848118649,0.6176,0.714732091,0.1106,,,,,,,,,
0.2,9,0.402177499,0.7305,0.760451977,0.673,0.714058355,0.212,,,,,,,,,
0.23,11,0.347575058,0.7486,0.829708223,0.6256,0.713340935,0.1284,,,,,,,,,
0.31,2,0.419168591,0.7195,0.730132103,0.6964,0.712867233,0.2574,,,,,,,,,
0.37,3,0.373968987,0.7455,0.818252528,0.6312,0.712656656,0.1402,,,,,,,,,
0.25,6,0.391619927,0.7299,0.763949483,0.6654,0.711277392,0.2056,,,,,,,,,
0.25,14,0.355493237,0.7451,0.820727558,0.6272,0.711030495,0.137,,,,,,,,,
0.33,2,0.395579017,0.7282,0.759908884,0.6672,0.710543131,0.2108,,,,,,,,,
0.32,7,0.319861432,0.7515,0.850767085,0.61,0.710541642,0.107,,,,,,,,,
0.25,15,0.341471462,0.7481,0.837367419,0.6158,0.70969229,0.1196,,,,,,,,,
0.2,7,0.405971627,0.725,0.753036437,0.6696,0.70887148,0.2196,,,,,,,,,
0.3,11,0.386176179,0.7246,0.756979405,0.6616,0.706083244,0.2124,,,,,,,,,
0.25,10,0.346750247,0.7401,0.813692187,0.6228,0.705562479,0.1426,,,,,,,,,
0.29,6,0.395249093,0.7238,0.756298672,0.6604,0.705103566,0.2128,,,,,,,,,
0.29,7,0.385516331,0.7219,0.750961321,0.664,0.704808407,0.2202,,,,,,,,,
0.18,13,0.399703068,0.7194,0.744103249,0.6688,0.704444913,0.23,,,,,,,,,
0.36,15,0.310623557,0.7474,0.852823731,0.598,0.703033153,0.1032,,,,,,,,,
0.3,2,0.401517651,0.713,0.728933792,0.6782,0.7026523,0.2522,,,,,,,,,
0.33,6,0.364236226,0.7325,0.792158834,0.6304,0.702082637,0.1654,,,,,,,,,
0.24,10,0.387495876,0.7177,0.743457839,0.6648,0.701932214,0.2294,,,,,,,,,
0.4,2,0.358627516,0.7338,0.798366514,0.6256,0.701502579,0.158,,,,,,,,,
0.29,4,0.299571099,0.7482,0.863716295,0.5894,0.700665716,0.093,,,,,,,,,
0.23,5,0.354008578,0.7336,0.800257069,0.6226,0.700337458,0.1554,,,,,,,,,
0.12,12,0.420323326,0.7073,0.717889426,0.683,0.700010249,0.2684,,,,,,,,,
0.24,8,0.385351369,0.7178,0.748971193,0.6552,0.698954555,0.2196,,,,,,,,,
0.22,11,0.389640383,0.7121,0.736349454,0.6608,0.696532097,0.2366,,,,,,,,,
0.29,3,0.340481689,0.7313,0.800467654,0.6162,0.69634987,0.1536,,,,,,,,,
0.27,2,0.436819532,0.6955,0.694527363,0.698,0.696259352,0.307,,,,,,,,,
0.38,2,0.391125041,0.7092,0.729486617,0.665,0.695752249,0.2466,,,,,,,,,
0.31,10,0.384196635,0.7088,0.731896935,0.659,0.693538202,0.2414,,,,,,,,,
0.27,14,0.247113164,0.7466,0.878918254,0.572,0.692997335,0.0788,,,,,,,,,
0.28,12,0.339656879,0.73,0.803590285,0.6088,0.692762858,0.1488,,,,,,,,,
0.28,8,0.297096668,0.7431,0.864249326,0.5768,0.691855584,0.0906,,,,,,,,,
0.26,12,0.384856483,0.7053,0.725952014,0.6596,0.691187258,0.249,,,,,,,,,
0.26,3,0.423952491,0.6966,0.704026567,0.6784,0.690975759,0.2852,,,,,,,,,
0.32,4,0.389805345,0.7029,0.71992196,0.6642,0.690939353,0.2584,,,,,,,,,
0.24,5,0.335037941,0.734,0.827364298,0.5914,0.689759739,0.1234,,,,,,,,,
0.3,7,0.265423952,0.7406,0.858248958,0.5764,0.68963867,0.0952,,,,,,,,,
0.19,11,0.407621247,0.6942,0.700206186,0.6792,0.689543147,0.2908,,,,,,,,,
0.24,12,0.351699109,0.722,0.780870445,0.6172,0.68945487,0.1732,,,,,,,,,
0.24,7,0.320851204,0.7322,0.823759063,0.5908,0.688096902,0.1264,,,,,,,,,
0.19,6,0.424942263,0.6911,0.695199183,0.6806,0.687822132,0.2984,,,,,,,,,
0.35,3,0.385846255,0.6973,0.711287214,0.6642,0.686937636,0.2696,,,,,,,,,
0.21,15,0.342461234,0.7166,0.767407407,0.6216,0.686850829,0.1884,,,,,,,,,
0.24,15,0.382382052,0.6987,0.717063579,0.6564,0.685392085,0.259,,,,,,,,,
0.46,2,0.282415045,0.7422,0.883713561,0.5578,0.683913683,0.0734,,,,,,,,,
0.01,93,0.537941274,0.6287,0.596116505,0.7982,0.682513895,0.5408,,,,,,,,,
0.26,11,0.305344771,0.7324,0.840163934,0.574,0.682034221,0.1092,,,,,,,,,
0.32,8,0.346750247,0.705,0.740159325,0.6318,0.681700475,0.2218,,,,,,,,,
0.39,5,0.29165292,0.7423,0.892198122,0.5512,0.681419211,0.0666,,,,,,,,,
0.27,7,0.366380732,0.6933,0.711534253,0.6502,0.67948584,0.2636,,,,,,,,,
0.3,3,0.396733751,0.6856,0.693575302,0.665,0.678987135,0.2938,,,,,,,,,
0.36,5,0.312933025,0.7154,0.781347962,0.5982,0.677616674,0.1674,,,,,,,,,
0.13,19,0.363576377,0.701,0.735252809,0.6282,0.677523727,0.2262,,,,,,,,,
0.21,10,0.372979215,0.6958,0.721093044,0.6386,0.677344081,0.247,,,,,,,,,
0.32,11,0.251237215,0.7323,0.853146853,0.5612,0.677041863,0.0966,,,,,,,,,
0.35,2,0.391784889,0.6822,0.688534768,0.6654,0.676769731,0.301,,,,,,,,,
0.26,7,0.389310459,0.6858,0.697156197,0.657,0.676482702,0.2854,,,,,,,,,
0.23,4,0.367535467,0.7155,0.784826857,0.5938,0.676078789,0.1628,,,,,,,,,
0.27,3,0.408116133,0.6761,0.676205723,0.6758,0.676002801,0.3236,,,,,,,,,
0.28,15,0.251897064,0.7403,0.899302094,0.5412,0.675739793,0.0606,,,,,,,,,
0.19,10,0.401022765,0.6849,0.696326184,0.6558,0.675455763,0.286,,,,,,,,,
0.24,9,0.386506104,0.6822,0.690267335,0.661,0.675316714,0.2966,,,,,,,,,
0.21,7,0.393104586,0.6779,0.6811978,0.6688,0.674941972,0.313,,,,,,,,,
0.28,3,0.382876938,0.6897,0.708782743,0.644,0.674840197,0.2646,,,,,,,,,
0.24,6,0.389145497,0.6784,0.682637183,0.6668,0.674625658,0.31,,,,,,,,,
0.21,14,0.385846255,0.6815,0.690451207,0.658,0.673835125,0.295,,,,,,,,,
0.25,4,0.397558562,0.6761,0.679510703,0.6666,0.672993438,0.3144,,,,,,,,,
0.19,8,0.408940944,0.6837,0.697314715,0.6492,0.672397721,0.2818,,,,,,,,,
0.26,8,0.348729792,0.698,0.734708393,0.6198,0.672380126,0.2238,,,,,,,,,
0.39,2,0.386836028,0.6775,0.683861612,0.6602,0.67182253,0.3052,,,,,,,,,
0.23,7,0.37578357,0.6834,0.698056156,0.6464,0.671235722,0.2796,,,,,,,,,
0.21,11,0.398383372,0.6737,0.676345178,0.6662,0.671234257,0.3188,,,,,,,,,
0.22,10,0.296601782,0.7137,0.788238468,0.5844,0.671184105,0.157,,,,,,,,,
0.28,7,0.258495546,0.7366,0.894596398,0.5364,0.670667667,0.0632,,,,,,,,,
0.2,10,0.39986803,0.6728,0.675967413,0.6638,0.669828456,0.3182,,,,,,,,,
0.2,12,0.401847575,0.6782,0.688531528,0.6508,0.669134279,0.2944,,,,,,,,,
0.29,2,0.419168591,0.6636,0.658834951,0.6786,0.668571429,0.3514,,,,,,,,,
0.01,96,0.700923788,0.6105,0.581985458,0.7844,0.668200017,0.5634,,,,,,,,,
0.21,4,0.415704388,0.6753,0.683868261,0.652,0.667554008,0.3014,,,,,,,,,
0.23,8,0.384196635,0.6761,0.686428118,0.6484,0.666872364,0.2962,,,,,,,,,
0.18,6,0.428736391,0.6505,0.637042433,0.6996,0.666857306,0.3986,,,,,,,,,
0.01,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.01,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.02,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.02,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.03,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.03,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.04,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.04,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.05,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.05,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
