self_radius,self_count,uc,accuracy,precision,recall,f1,far,,,,,,,,,
0.33,6,0.971543638,0.7751,0.860739575,0.6564,0.744808805,0.1062,,0.33,6,0.7751,0.860739575,0.6564,0.744808805,0.1062,0.971543638
0.27,7,0.969423984,0.7683,0.847448847,0.6544,0.738517097,0.1178,,,,,,,,,
0.36,8,0.960574426,0.7712,0.862760835,0.645,0.738155184,0.1026,,,,,,,,,
0.4,12,0.963965874,0.7635,0.851614625,0.6382,0.729621585,0.1112,,,,,,,,,
0.35,14,0.965237666,0.7581,0.833376389,0.6452,0.727313719,0.129,,,,,,,,,
0.35,2,0.970006889,0.7568,0.83126935,0.6444,0.726002704,0.1308,,,,,,,,,
0.3,7,0.966827407,0.7584,0.842161017,0.636,0.724703737,0.1192,,,,,,,,,
0.22,9,0.971649621,0.748,0.799806576,0.6616,0.724168126,0.1656,,,,,,,,,
0.38,7,0.961581262,0.7623,0.864609397,0.622,0.723508201,0.0974,,,,,,,,,
0.39,2,0.971967569,0.7469,0.797254996,0.6622,0.723478641,0.1684,,,,,,,,,
0.34,4,0.971808595,0.7553,0.832335329,0.6394,0.723221355,0.1288,,,,,,,,,
0.32,11,0.968682105,0.7582,0.852347162,0.6246,0.720914127,0.1082,,,,,,,,,
0.44,2,0.958666737,0.7586,0.855024712,0.6228,0.720666512,0.1056,,,,,,,,,
0.39,5,0.931429177,0.7649,0.888302551,0.606,0.720485079,0.0762,,,,,,,,,
0.42,2,0.97122569,0.7586,0.856788079,0.621,0.720083488,0.1038,,,,,,,,,
0.3,10,0.970324837,0.7501,0.819086502,0.642,0.719811638,0.1418,,,,,,,,,
0.23,8,0.972868422,0.7392,0.778268962,0.669,0.719509572,0.1906,,,,,,,,,
0.28,14,0.971914578,0.7426,0.79088729,0.6596,0.719302072,0.1744,,,,,,,,,
0.27,12,0.970854751,0.7547,0.840963855,0.6282,0.71917573,0.1188,,,,,,,,,
0.26,8,0.972179535,0.7405,0.784885098,0.6626,0.718577161,0.1816,,,,,,,,,
0.3,11,0.9680992,0.7453,0.804116043,0.6486,0.718033876,0.158,,,,,,,,,
0.25,6,0.972338509,0.74,0.785578296,0.6602,0.717452728,0.1802,,,,,,,,,
0.25,7,0.971649621,0.7464,0.810483871,0.6432,0.717216771,0.1504,,,,,,,,,
0.21,15,0.972709448,0.7376,0.779135338,0.6632,0.716508211,0.188,,,,,,,,,
0.45,2,0.969476975,0.7492,0.825496343,0.632,0.715903942,0.1336,,,,,,,,,
0.27,4,0.972656457,0.7393,0.786861664,0.6564,0.71573438,0.1778,,,,,,,,,
0.2,13,0.971437656,0.7367,0.777751701,0.6628,0.71568945,0.1894,,,,,,,,,
0.42,7,0.968841079,0.7554,0.858707865,0.6114,0.714252336,0.1006,,,,,,,,,
0.26,13,0.971755604,0.7402,0.794796269,0.6476,0.713687459,0.1672,,,,,,,,,
0.21,13,0.972497483,0.7329,0.771003025,0.6626,0.712703022,0.1968,,,,,,,,,
0.24,9,0.972285517,0.7327,0.771528588,0.6612,0.712116317,0.1958,,,,,,,,,
0.26,4,0.972974405,0.7299,0.762742857,0.6674,0.711893333,0.2076,,,,,,,,,
0.26,5,0.97276244,0.7311,0.76778679,0.6626,0.711325819,0.2004,,,,,,,,,
0.19,7,0.973239362,0.7252,0.753375338,0.6696,0.709021601,0.2192,,,,,,,,,
0.27,9,0.972550474,0.729,0.766775396,0.6582,0.70835127,0.2002,,,,,,,,,
0.38,3,0.970642785,0.7364,0.793737575,0.6388,0.707890071,0.166,,,,,,,,,
0.26,6,0.968629113,0.7487,0.845320744,0.6088,0.707824672,0.1114,,,,,,,,,
0.28,4,0.959196651,0.7506,0.855763771,0.6028,0.707345693,0.1016,,,,,,,,,
0.25,4,0.971808595,0.7313,0.780092032,0.6442,0.705663271,0.1816,,,,,,,,,
0.33,3,0.972020561,0.7284,0.770359848,0.6508,0.705550737,0.194,,,,,,,,,
0.33,4,0.965820571,0.7476,0.847362514,0.604,0.705277908,0.1088,,,,,,,,,
0.21,10,0.972603466,0.7212,0.749099099,0.6652,0.704661017,0.2228,,,,,,,,,
0.25,9,0.966244502,0.7507,0.864283638,0.5948,0.704655846,0.0934,,,,,,,,,
0.22,12,0.972497483,0.7211,0.749830508,0.6636,0.704084881,0.2214,,,,,,,,,
0.22,11,0.972709448,0.7194,0.746184919,0.665,0.703257191,0.2262,,,,,,,,,
0.29,6,0.937046261,0.7575,0.906023336,0.5746,0.7032187,0.0596,,,,,,,,,
0.21,6,0.972285517,0.7214,0.752509124,0.6598,0.703111679,0.217,,,,,,,,,
0.28,11,0.947167612,0.745,0.841606247,0.6036,0.703004892,0.1136,,,,,,,,,
0.31,6,0.970695777,0.7379,0.811468971,0.6198,0.702800771,0.144,,,,,,,,,
0.34,10,0.95797785,0.7529,0.882602118,0.5834,0.702468393,0.0776,,,,,,,,,
0.39,3,0.959249642,0.7445,0.840814051,0.6032,0.702457203,0.1142,,,,,,,,,
0.28,12,0.971331673,0.7203,0.750739813,0.6596,0.702225061,0.219,,,,,,,,,
0.29,5,0.97005988,0.7354,0.804606625,0.6218,0.70148917,0.151,,,,,,,,,
0.24,14,0.970695777,0.7342,0.800873587,0.6234,0.701079622,0.155,,,,,,,,,
0.21,8,0.973186371,0.7157,0.739613419,0.6658,0.70076834,0.2344,,,,,,,,,
0.35,11,0.956176143,0.751,0.878239904,0.5828,0.700649195,0.0808,,,,,,,,,
0.23,6,0.972126543,0.7135,0.735287635,0.6672,0.699591066,0.2402,,,,,,,,,
0.26,12,0.969953898,0.7456,0.856562137,0.59,0.698720985,0.0988,,,,,,,,,
0.18,8,0.97392825,0.7023,0.710948905,0.6818,0.696069423,0.2772,,,,,,,,,
0.17,13,0.973133379,0.706,0.721219931,0.6716,0.695526098,0.2596,,,,,,,,,
0.23,9,0.9723915,0.7129,0.740891604,0.6548,0.695190572,0.229,,,,,,,,,
0.32,3,0.972444492,0.7065,0.723921058,0.6676,0.694620747,0.2546,,,,,,,,,
0.24,12,0.972603466,0.7041,0.721318586,0.6652,0.692123608,0.257,,,,,,,,,
0.19,14,0.973027397,0.7033,0.719404274,0.6666,0.691996263,0.26,,,,,,,,,
0.34,3,0.972444492,0.7038,0.721137153,0.6646,0.691715237,0.257,,,,,,,,,
0.24,6,0.969635949,0.7291,0.803765579,0.6062,0.691141261,0.148,,,,,,,,,
0.32,12,0.958931694,0.7519,0.916363636,0.5544,0.690841121,0.0506,,,,,,,,,
0.4,2,0.972550474,0.7,0.715053763,0.665,0.689119171,0.265,,,,,,,,,
0.36,2,0.918870224,0.7397,0.85851032,0.574,0.688001918,0.0946,,,,,,,,,
0.19,12,0.973080388,0.6968,0.709005947,0.6676,0.687680264,0.274,,,,,,,,,
0.19,15,0.972603466,0.6974,0.711258562,0.6646,0.687138131,0.2698,,,,,,,,,
0.22,15,0.956282126,0.7381,0.855055174,0.5734,0.686459955,0.0972,,,,,,,,,
0.28,8,0.972656457,0.6958,0.708564124,0.6652,0.686197648,0.2736,,,,,,,,,
0.21,14,0.973186371,0.695,0.708155423,0.6634,0.685047501,0.2734,,,,,,,,,
0.23,10,0.972126543,0.6936,0.705869843,0.6638,0.684188827,0.2766,,,,,,,,,
0.29,11,0.972285517,0.6975,0.718715393,0.649,0.682080925,0.254,,,,,,,,,
0.24,15,0.970589794,0.7002,0.728643216,0.638,0.680315632,0.2376,,,,,,,,,
0.34,5,0.953102644,0.739,0.878643853,0.5546,0.679990191,0.0766,,,,,,,,,
0.29,2,0.97355731,0.6826,0.685871336,0.6738,0.679782082,0.3086,,,,,,,,,
0.29,15,0.944041121,0.7423,0.897604201,0.547,0.679756431,0.0624,,,,,,,,,
0.29,3,0.969212018,0.7018,0.735088537,0.631,0.679078777,0.2274,,,,,,,,,
0.17,10,0.972550474,0.68,0.68123238,0.6766,0.678908288,0.3166,,,,,,,,,
0.31,4,0.965502623,0.7265,0.823109843,0.577,0.678424456,0.124,,,,,,,,,
0.26,14,0.972550474,0.6828,0.690099834,0.6636,0.676590538,0.298,,,,,,,,,
0.3,3,0.935191564,0.7249,0.820827389,0.5754,0.67654321,0.1256,,,,,,,,,
0.18,7,0.974458163,0.6712,0.666536965,0.6852,0.675739645,0.3428,,,,,,,,,
0.18,10,0.974352181,0.676,0.676494184,0.6746,0.675545764,0.3226,,,,,,,,,
0.01,94,0.981823963,0.634,0.607268652,0.7586,0.674550951,0.4906,,,,,,,,,
0.12,29,0.966721424,0.6819,0.690951081,0.6582,0.674178019,0.2944,,,,,,,,,
0.35,3,0.964177839,0.7132,0.782159873,0.591,0.673274094,0.1646,,,,,,,,,
0.25,3,0.973345345,0.6713,0.669302234,0.6772,0.673227955,0.3346,,,,,,,,,
0.18,12,0.9723915,0.677,0.681501231,0.6646,0.672944512,0.3106,,,,,,,,,
0.24,5,0.972868422,0.6752,0.67877551,0.6652,0.671919192,0.3148,,,,,,,,,
0.21,11,0.972921414,0.6753,0.679060266,0.6648,0.671854472,0.3142,,,,,,,,,
0.17,4,0.980022256,0.6489,0.630866585,0.7178,0.671531481,0.42,,,,,,,,,
0.16,12,0.973080388,0.6711,0.670929071,0.6716,0.671264368,0.3294,,,,,,,,,
0.28,3,0.972338509,0.6797,0.689677011,0.6534,0.671048578,0.294,,,,,,,,,
0.03,98,0.974776111,0.6481,0.629980692,0.7178,0.671029261,0.4216,,,,,,,,,
0.19,11,0.973345345,0.6711,0.671339876,0.6704,0.670869609,0.3282,,,,,,,,,
0.23,11,0.967887234,0.6902,0.715646259,0.6312,0.67077577,0.2508,,,,,,,,,
0.33,8,0.884743787,0.7316,0.868789809,0.5456,0.67027027,0.0824,,,,,,,,,
0.27,3,0.972868422,0.6691,0.668191764,0.6718,0.669991024,0.3336,,,,,,,,,
0.28,15,0.958719729,0.7316,0.870441459,0.5442,0.66970219,0.081,,,,,,,,,
0.22,4,0.974087224,0.6654,0.661208577,0.6784,0.669693978,0.3476,,,,,,,,,
0.16,15,0.973345345,0.6668,0.664432177,0.674,0.66918189,0.3404,,,,,,,,,
0.18,15,0.972815431,0.6693,0.669537352,0.6686,0.669068348,0.33,,,,,,,,,
0.25,11,0.97276244,0.6701,0.671230119,0.6668,0.669007725,0.3266,,,,,,,,,
0.22,10,0.972815431,0.6714,0.674045491,0.6638,0.668883515,0.321,,,,,,,,,
0.22,13,0.971384664,0.6853,0.705751721,0.6356,0.668841418,0.265,,,,,,,,,
0.2,8,0.969635949,0.6749,0.682758621,0.6534,0.667756771,0.3036,,,,,,,,,
0.2,15,0.972126543,0.6688,0.669955699,0.6654,0.667670078,0.3278,,,,,,,,,
0.18,13,0.957235971,0.6955,0.73559894,0.6104,0.667176741,0.2194,,,,,,,,,
0.23,7,0.942504372,0.7087,0.778936113,0.5828,0.666742936,0.1654,,,,,,,,,
0.01,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.01,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.01,3,0.999894017,0.5,0.5,1,0.666666667,1,,,,,,,,,
