self_radius,self_count,uc,accuracy,precision,recall,f1,far,,,,,,,,
0.38,5,0.136363636,0.7836,0.87793177,0.6588,0.75274223,0.0916,0.38,5,0.7836,0.87793177,0.6588,0.75274223,0.0916,0.136363636
0.36,4,0.113636364,0.7798,0.87010582,0.6578,0.749202733,0.0982,,,,,,,,
0.32,4,0.136363636,0.7736,0.858115183,0.6556,0.743310658,0.1084,,,,,,,,
0.35,11,0.136363636,0.7718,0.849716933,0.6604,0.743191537,0.1168,,,,,,,,
0.35,4,0.136363636,0.766,0.840153453,0.657,0.737373737,0.125,,,,,,,,
0.33,12,0.136363636,0.7689,0.857865318,0.6446,0.736096837,0.1068,,,,,,,,
0.25,5,0.136363636,0.7615,0.826630027,0.6618,0.735088304,0.1388,,,,,,,,
0.32,10,0.136363636,0.7678,0.855927698,0.644,0.734992011,0.1084,,,,,,,,
0.28,15,0.136363636,0.7629,0.837657334,0.6522,0.733385809,0.1264,,,,,,,,
0.26,5,0.136363636,0.7596,0.823207171,0.6612,0.73336291,0.142,,,,,,,,
0.31,4,0.136363636,0.758,0.819465082,0.6618,0.732241646,0.1458,,,,,,,,
0.3,7,0.136363636,0.7539,0.81001221,0.6634,0.729411765,0.1556,,,,,,,,
0.27,15,0.136363636,0.7564,0.82066033,0.6562,0.729273172,0.1434,,,,,,,,
0.28,4,0.136363636,0.7549,0.816331596,0.6578,0.728541367,0.148,,,,,,,,
0.32,5,0.136363636,0.755,0.816848907,0.6574,0.728501773,0.1474,,,,,,,,
0.25,11,0.136363636,0.7509,0.801635008,0.6668,0.728027077,0.165,,,,,,,,
0.29,12,0.136363636,0.7487,0.8,0.6632,0.72520503,0.1658,,,,,,,,
0.24,6,0.136363636,0.7489,0.801112993,0.6622,0.725062959,0.1644,,,,,,,,
0.29,4,0.136363636,0.7449,0.792592593,0.6634,0.722264562,0.1736,,,,,,,,
0.3,3,0.136363636,0.742,0.787138111,0.6634,0.719991318,0.1794,,,,,,,,
0.28,11,0.136363636,0.7443,0.797563946,0.6548,0.719165294,0.1662,,,,,,,,
0.39,2,0.136363636,0.7576,0.855408389,0.62,0.718923933,0.1048,,,,,,,,
0.34,5,0.136363636,0.7449,0.801230012,0.6514,0.718587976,0.1616,,,,,,,,
0.28,12,0.022727273,0.7559,0.851221521,0.6202,0.717574916,0.1084,,,,,,,,
0.25,4,0.136363636,0.7363,0.772674821,0.6696,0.717454195,0.197,,,,,,,,
0.26,8,0.136363636,0.7367,0.779061542,0.6608,0.715074126,0.1874,,,,,,,,
0.35,5,0.068181818,0.7469,0.818580645,0.6344,0.714816901,0.1406,,,,,,,,
0.31,11,0.136363636,0.75,0.833333333,0.625,0.714285714,0.125,,,,,,,,
0.39,3,0.113636364,0.7465,0.827879755,0.6224,0.7105834,0.1294,,,,,,,,
0.22,11,0.068181818,0.7378,0.793145957,0.6434,0.710468198,0.1678,,,,,,,,
0.24,7,0.113636364,0.7438,0.818110647,0.627,0.709918478,0.1394,,,,,,,,
0.2,12,0.136363636,0.7411,0.808706786,0.6316,0.709264458,0.1494,,,,,,,,
0.2,15,0.113636364,0.7335,0.780851576,0.6492,0.708965818,0.1822,,,,,,,,
0.22,13,0.136363636,0.7423,0.815412653,0.6264,0.708517136,0.1418,,,,,,,,
0.6,1,0.136363636,0.7452,0.828158458,0.6188,0.708333333,0.1284,,,,,,,,
0.24,11,0.090909091,0.7464,0.835146899,0.614,0.707699401,0.1212,,,,,,,,
0.27,7,0.090909091,0.7457,0.834285714,0.6132,0.70685879,0.1218,,,,,,,,
0.31,3,0.022727273,0.7514,0.866258741,0.5946,0.705170778,0.0918,,,,,,,,
0.22,14,0.113636364,0.7399,0.81425203,0.6216,0.705001701,0.1418,,,,,,,,
0.23,5,0.136363636,0.7455,0.83862069,0.608,0.704927536,0.117,,,,,,,,
0.28,2,0.159090909,0.7169,0.737776803,0.673,0.703901266,0.2392,,,,,,,,
0.35,12,0.022727273,0.7468,0.847605634,0.6018,0.703859649,0.1082,,,,,,,,
0.2,14,0.136363636,0.7198,0.747188484,0.6644,0.703366504,0.2248,,,,,,,,
0.29,5,0.090909091,0.7396,0.818447634,0.6158,0.702807578,0.1366,,,,,,,,
0.33,3,0.113636364,0.7442,0.840301003,0.603,0.702142524,0.1146,,,,,,,,
0.38,3,0.022727273,0.745,0.844876126,0.6002,0.701824135,0.1102,,,,,,,,
0.38,8,0.022727273,0.7601,0.933355548,0.5602,0.70016248,0.04,,,,,,,,
0.31,2,0.136363636,0.719,0.750686813,0.6558,0.700042699,0.2178,,,,,,,,
0.36,3,0.136363636,0.7157,0.740897923,0.6634,0.700010552,0.232,,,,,,,,
0.24,5,0.113636364,0.735,0.806788512,0.618,0.69988675,0.148,,,,,,,,
0.38,2,0.136363636,0.7216,0.759849906,0.648,0.699481865,0.2048,,,,,,,,
0.25,13,0.090909091,0.7453,0.853152894,0.5926,0.699398088,0.102,,,,,,,,
0.3,4,0.136363636,0.7351,0.808773312,0.6158,0.699216532,0.1456,,,,,,,,
0.31,5,0.090909091,0.7489,0.873611528,0.582,0.698595607,0.0842,,,,,,,,
0.21,9,0.159090909,0.7115,0.733083535,0.6652,0.697493971,0.2422,,,,,,,,
0.36,2,0.136363636,0.7093,0.729545953,0.6652,0.695888691,0.2466,,,,,,,,
0.26,14,0.136363636,0.7285,0.791677304,0.6202,0.695525401,0.1632,,,,,,,,
0.22,3,0.204545455,0.6971,0.699534319,0.691,0.69524097,0.2968,,,,,,,,
0.17,14,0.181818182,0.7061,0.722618276,0.669,0.694776197,0.2568,,,,,,,,
0.27,14,0.090909091,0.7365,0.827471615,0.5976,0.693996052,0.1246,,,,,,,,
0.29,6,0.045454545,0.7225,0.773947304,0.6286,0.693742413,0.1836,,,,,,,,
0.45,3,0.045454545,0.7527,0.912773603,0.5588,0.693214241,0.0534,,,,,,,,
0.42,8,0.113636364,0.7474,0.884639303,0.569,0.69255112,0.0742,,,,,,,,
0.24,13,0.159090909,0.7396,0.84544406,0.5864,0.692489372,0.1072,,,,,,,,
0.22,4,0.136363636,0.7022,0.716117999,0.67,0.692291796,0.2656,,,,,,,,
0.22,8,0.136363636,0.7193,0.769344141,0.6264,0.69055231,0.1878,,,,,,,,
0.37,5,0.045454545,0.7319,0.817063167,0.5976,0.690308421,0.1338,,,,,,,,
0.25,14,0.136363636,0.7011,0.716842786,0.6648,0.689841237,0.2626,,,,,,,,
0.19,13,0.136363636,0.6973,0.709581474,0.668,0.688163181,0.2734,,,,,,,,
0.13,10,0.295454545,0.6841,0.680101741,0.6952,0.687567995,0.327,,,,,,,,
0.23,14,0.113636364,0.7326,0.828345567,0.5868,0.686958558,0.1216,,,,,,,,
0.19,4,0.181818182,0.6909,0.696358774,0.677,0.686542947,0.2952,,,,,,,,
0.29,7,0.136363636,0.6962,0.709615385,0.6642,0.686157025,0.2718,,,,,,,,
0.23,8,0.113636364,0.7061,0.738596897,0.638,0.684622814,0.2258,,,,,,,,
0.3,5,0.022727273,0.7467,0.909664563,0.5478,0.683809762,0.0544,,,,,,,,
0.39,6,0.022727273,0.7443,0.896204995,0.5526,0.683657058,0.064,,,,,,,,
0.23,4,0.181818182,0.6864,0.690204082,0.6764,0.683232323,0.3036,,,,,,,,
0.27,4,0.136363636,0.6884,0.696906355,0.6668,0.68152085,0.29,,,,,,,,
0.17,15,0.181818182,0.699,0.724909584,0.6414,0.680602716,0.2434,,,,,,,,
0.24,15,0.136363636,0.6883,0.698670606,0.6622,0.679946606,0.2856,,,,,,,,
0.21,8,0.159090909,0.6851,0.691575243,0.6682,0.679686705,0.298,,,,,,,,
0.3,2,0.113636364,0.6891,0.702245989,0.6566,0.678656331,0.2784,,,,,,,,
0.21,14,0.136363636,0.7028,0.739150943,0.6268,0.678354978,0.2212,,,,,,,,
0.42,3,0.068181818,0.733,0.853030303,0.563,0.678313253,0.097,,,,,,,,
0.29,2,0.181818182,0.6621,0.648253155,0.7088,0.677175886,0.3846,,,,,,,,
0.23,11,0.090909091,0.7236,0.814221473,0.5794,0.677027343,0.1322,,,,,,,,
0.28,3,0.136363636,0.6783,0.68064843,0.6718,0.676195269,0.3152,,,,,,,,
0.23,15,0.136363636,0.6838,0.693148382,0.6596,0.675958188,0.292,,,,,,,,
0.13,24,0.227272727,0.6769,0.678075297,0.6736,0.67583024,0.3198,,,,,,,,
0.14,13,0.181818182,0.6719,0.668232531,0.6828,0.675437729,0.339,,,,,,,,
0.24,4,0.136363636,0.6778,0.680544273,0.6702,0.675332527,0.3146,,,,,,,,
0.32,13,0.113636364,0.7394,0.895571712,0.542,0.675305258,0.0632,,,,,,,,
0.21,15,0.136363636,0.6797,0.685448916,0.6642,0.674657186,0.3048,,,,,,,,
0.2,13,0.136363636,0.6789,0.683864337,0.6654,0.674505829,0.3076,,,,,,,,
0.22,15,0.045454545,0.7248,0.826934264,0.5686,0.673856364,0.119,,,,,,,,
0.16,18,0.136363636,0.6862,0.701602425,0.648,0.673736744,0.2756,,,,,,,,
0.29,11,0,0.727,0.843107618,0.5578,0.671401059,0.1038,,,,,,,,
0.19,14,0.159090909,0.6731,0.675308892,0.6668,0.671027473,0.3206,,,,,,,,
0.31,13,0.022727273,0.731,0.864123581,0.5482,0.670827215,0.0862,,,,,,,,
0.26,13,0.113636364,0.7186,0.811041548,0.57,0.669485553,0.1328,,,,,,,,
0.32,2,0.090909091,0.6867,0.708417057,0.6346,0.669479903,0.2612,,,,,,,,
0.19,10,0.136363636,0.6673,0.665414277,0.673,0.669185642,0.3384,,,,,,,,
0.21,4,0.181818182,0.6661,0.663452076,0.6742,0.668782859,0.342,,,,,,,,
0.22,9,0.113636364,0.7118,0.787771739,0.5798,0.66797235,0.1562,,,,,,,,
0.33,2,0.136363636,0.6628,0.657996894,0.678,0.6678487,0.3524,,,,,,,,
0.34,2,0.136363636,0.6618,0.65623793,0.6796,0.667714679,0.356,,,,,,,,
0.29,3,0.068181818,0.7135,0.794808064,0.5756,0.667671964,0.1486,,,,,,,,
0.25,8,0.136363636,0.6779,0.689699296,0.6468,0.667561152,0.291,,,,,,,,
0.19,11,0.159090909,0.7065,0.771068522,0.5874,0.666818027,0.1744,,,,,,,,
0.01,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.01,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.02,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.02,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,
0.03,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,
