radius,count,Unknown Coverage,Accuracy,Precision,Recall,F1,FPR,,,,,,,,,
0.04,10,0.903988183,0.7888,0.871781668,0.6772,0.762269248,0.0996,,0.04,10,0.7888,0.871781668,0.6772,0.0996,0.903988183,0.762269248
0.01,10,0.847858198,0.7122,0.746057514,0.6434,0.690936426,0.219,,,,,,,,,
0.05,10,0.76070901,0.6878,0.703158806,0.65,0.675535232,0.2744,,,,,,,,,
0.07,10,0.734121123,0.7317,0.886295432,0.5316,0.664583073,0.0682,,,,,,,,,
0.05,20,0.620384047,0.6892,0.853777113,0.4566,0.594996091,0.0782,,,,,,,,,
0.07,60,0.410635155,0.6838,0.9401341,0.3926,0.553893905,0.025,,,,,,,,,
0.04,80,0.347119645,0.6676,0.932404541,0.3614,0.520899395,0.0262,,,,,,,,,
0.03,10,0.376661743,0.6361,0.762639907,0.3952,0.52061652,0.123,,,,,,,,,
0.01,30,0.264401773,0.6237,0.743408107,0.3778,0.500994563,0.1304,,,,,,,,,
0.04,100,0.11225997,0.6489,0.868381989,0.351,0.499928785,0.0532,,,,,,,,,
0.07,30,0.140324963,0.6513,0.885379521,0.3476,0.499210111,0.045,,,,,,,,,
0.02,60,0.152141802,0.6497,0.895822316,0.3388,0.491655783,0.0394,,,,,,,,,
0.01,50,0.326440177,0.6145,0.72836059,0.3652,0.486479286,0.1362,,,,,,,,,
0.1,10,0.17872969,0.6447,0.895139268,0.3278,0.479871176,0.0384,,,,,,,,,
0.03,50,0.11225997,0.629,0.816486752,0.3328,0.472861608,0.0748,,,,,,,,,
0.05,80,0.132939439,0.641,0.898305085,0.318,0.46971935,0.036,,,,,,,,,
0.09,10,0.265878877,0.6396,0.903935185,0.3124,0.464328181,0.0332,,,,,,,,,
0.02,100,0.094534712,0.6181,0.782130913,0.3274,0.461581841,0.0912,,,,,,,,,
0.04,30,0.277695716,0.6268,0.846069869,0.31,0.453747073,0.0564,,,,,,,,,
0.02,50,0.152141802,0.616,0.79204431,0.3146,0.45032923,0.0826,,,,,,,,,
0.02,40,0.302806499,0.6168,0.802277433,0.31,0.447201385,0.0764,,,,,,,,,
0.05,60,0.138847858,0.6291,0.88399762,0.2972,0.444843586,0.039,,,,,,,,,
0.1,80,0.090103397,0.6253,0.889856876,0.286,0.432874224,0.0354,,,,,,,,,
0.01,40,0.013293944,0.6068,0.798992161,0.2854,0.420571765,0.0718,,,,,,,,,
0.03,70,0.079763663,0.6102,0.845671267,0.2696,0.408856536,0.0492,,,,,,,,,
0.02,80,0.082717873,0.6136,0.875661376,0.2648,0.406633907,0.0376,,,,,,,,,
0.1,30,0.042836041,0.6162,0.899587345,0.2616,0.405330028,0.0292,,,,,,,,,
0.06,60,0.013293944,0.6153,0.909737029,0.256,0.399562978,0.0254,,,,,,,,,
0.07,80,0.025110783,0.6019,0.857042747,0.2446,0.38058192,0.0408,,,,,,,,,
0.01,60,0.036927622,0.5974,0.825100134,0.2472,0.380424746,0.0524,,,,,,,,,
0.01,100,0,0.608,0.919254658,0.2368,0.376590331,0.0208,,,,,,,,,
0.09,40,0.023633678,0.6071,0.927374302,0.2324,0.371661602,0.0182,,,,,,,,,
0.09,70,0,0.6069,0.932793522,0.2304,0.369526864,0.0166,,,,,,,,,
0.06,30,0.020679468,0.5991,0.865143699,0.2348,0.369356615,0.0366,,,,,,,,,
0.08,80,0,0.609,0.956448911,0.2284,0.368743946,0.0104,,,,,,,,,
0.01,20,0.013293944,0.5892,0.834332834,0.2226,0.351436691,0.0442,,,,,,,,,
0.1,60,0,0.6042,0.986007463,0.2114,0.348155468,0.003,,,,,,,,,
0.02,90,0,0.5999,0.944790739,0.2122,0.346562143,0.0124,,,,,,,,,
0.06,100,0.048744461,0.583,0.82120743,0.2122,0.337253655,0.0462,,,,,,,,,
0.01,70,0,0.5771,0.828644501,0.1944,0.314919812,0.0402,,,,,,,,,
0.02,70,0.078286558,0.5877,0.951596292,0.1848,0.309495897,0.0094,,,,,,,,,
0.05,50,0.004431315,0.5699,0.80847308,0.1832,0.298711887,0.0434,,,,,,,,,
0.07,20,0.026587888,0.5681,0.799472296,0.1818,0.296235946,0.0456,,,,,,,,,
0.05,40,0,0.5718,0.894505495,0.1628,0.275465313,0.0192,,,,,,,,,
0.05,100,0.00295421,0.572,0.973684211,0.148,0.256944444,0.004,,,,,,,,,
0.1,90,0,0.5672,0.994117647,0.1352,0.238028169,0.0008,,,,,,,,,
0.08,70,0,0.5648,0.993902439,0.1304,0.230551627,0.0008,,,,,,,,,
0.08,50,0,0.563,0.972972973,0.1296,0.228732792,0.0036,,,,,,,,,
0.08,100,0.05760709,0.5602,0.99669967,0.1208,0.215483411,0.0004,,,,,,,,,
0.08,10,0.073855244,0.4971,0.488803089,0.1266,0.201111994,0.1324,,,,,,,,,
0.1,100,0,0.5555,0.992895204,0.1118,0.200970699,0.0008,,,,,,,,,
0.03,30,0,0.5504,0.95323741,0.106,0.190784737,0.0052,,,,,,,,,
0.01,80,0,0.5485,0.948243993,0.1026,0.185165133,0.0056,,,,,,,,,
0.09,100,0,0.5468,0.95703125,0.098,0.177793904,0.0044,,,,,,,,,
0.09,30,0.183161004,0.5129,0.6,0.0774,0.137112489,0.0516,,,,,,,,,
0.1,20,0,0.5344,0.980446927,0.0702,0.131019037,0.0014,,,,,,,,,
0.06,20,0,0.5256,0.784444444,0.0706,0.129541284,0.0194,,,,,,,,,
0.04,20,0.00295421,0.4874,0.425,0.0714,0.122260274,0.0966,,,,,,,,,
0.03,20,0.011816839,0.4995,0.496194825,0.0652,0.115255436,0.0662,,,,,,,,,
0.05,90,0,0.5281,0.973063973,0.0578,0.109118369,0.0016,,,,,,,,,
0.04,40,0.004431315,0.5073,0.570599613,0.059,0.106942179,0.0444,,,,,,,,,
0.09,60,0,0.5194,0.763586957,0.0562,0.104694486,0.0174,,,,,,,,,
0.08,20,0.070901034,0.5221,0.833836858,0.0552,0.103545301,0.011,,,,,,,,,
0.09,20,0.00295421,0.5245,0.920962199,0.0536,0.101304101,0.0046,,,,,,,,,
0.05,70,0.025110783,0.5234,0.911971831,0.0518,0.098031794,0.005,,,,,,,,,
0.02,30,0,0.5083,0.620991254,0.0426,0.079730488,0.026,,,,,,,,,
0.04,90,0.001477105,0.5014,0.517857143,0.0406,0.075296736,0.0378,,,,,,,,,
0.06,40,0.004431315,0.5,0.5,0.0386,0.071667286,0.0386,,,,,,,,,
0.03,40,0,0.5129,0.837696335,0.032,0.061645155,0.0062,,,,,,,,,
0.04,50,0.001477105,0.512,0.8,0.032,0.061538462,0.008,,,,,,,,,
0.03,80,0.008862629,0.5001,0.501597444,0.0314,0.05910032,0.0312,,,,,,,,,
0.08,60,0,0.5121,0.880503145,0.028,0.054274084,0.0038,,,,,,,,,
0.09,80,0,0.5093,0.751351351,0.0278,0.053616201,0.0092,,,,,,,,,
0.06,10,0,0.504,0.587719298,0.0268,0.051262433,0.0188,,,,,,,,,
0.06,50,0,0.5091,0.789808917,0.0248,0.048089975,0.0066,,,,,,,,,
0.08,30,0,0.5027,0.58490566,0.0186,0.036053499,0.0132,,,,,,,,,
0.08,40,0,0.4961,0.410138249,0.0178,0.034119226,0.0256,,,,,,,,,
0.1,40,0.00295421,0.502,0.569444444,0.0164,0.031881804,0.0124,,,,,,,,,
0.07,90,0,0.5059,0.786407767,0.0162,0.031746032,0.0044,,,,,,,,,
0.02,20,0.00295421,0.5011,0.536423841,0.0162,0.031450204,0.014,,,,,,,,,
0.06,90,0,0.5021,0.612903226,0.0114,0.022383664,0.0072,,,,,,,,,
0.08,90,0,0.5038,0.763888889,0.011,0.021687697,0.0034,,,,,,,,,
0.05,30,0,0.5012,0.563829787,0.0106,0.020808795,0.0082,,,,,,,,,
0.03,100,0,0.4974,0.39516129,0.0098,0.019125683,0.015,,,,,,,,,
0.07,50,0.036927622,0.4976,0.390909091,0.0086,0.016829746,0.0134,,,,,,,,,
0.07,40,0.00295421,0.5023,0.709090909,0.0078,0.015430267,0.0032,,,,,,,,,
0.06,80,0.00295421,0.4991,0.430769231,0.0056,0.011056269,0.0074,,,,,,,,,
0.01,90,0.00295421,0.49,0.175324675,0.0054,0.010477299,0.0254,,,,,,,,,
0.04,70,0,0.5007,0.585365854,0.0048,0.00952192,0.0034,,,,,,,,,
0.03,90,0,0.4925,0.195121951,0.0048,0.00936951,0.0198,,,,,,,,,
0.04,60,0.001477105,0.5004,0.558823529,0.0038,0.007548669,0.003,,,,,,,,,
0.07,100,0,0.4985,0.352941176,0.0036,0.007127302,0.0066,,,,,,,,,
0.02,10,0,0.4376,0.02293578,0.003,0.005305978,0.1278,,,,,,,,,
0.09,50,0,0.4978,0.238095238,0.002,0.00396668,0.0064,,,,,,,,,
0.1,70,0,0.5001,0.533333333,0.0016,0.003190429,0.0014,,,,,,,,,
0.06,70,0,0.4991,0.285714286,0.0012,0.002389962,0.003,,,,,,,,,
0.09,90,0,0.5003,0.8,0.0008,0.001598402,0.0002,,,,,,,,,
0.1,50,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.03,60,0,0.4993,0,0,0,0.0014,,,,,,,,,
