radius,count,Unknown Coverage,Accuracy,Precision,Recall,F1,FPR,,,,,,,,,
0.04,20,0.90051458,0.7888,0.871781668,0.6772,0.762269248,0.0996,,0.04,20,0.7888,0.871781668,0.6772,0.0996,0.90051458,0.762269248
0.1,20,0.90051458,0.7671,0.85948856,0.6386,0.73275961,0.1044,,,,,,,,,
0.01,10,0.84219554,0.7122,0.746057514,0.6434,0.690936426,0.219,,,,,,,,,
0.05,10,0.720411664,0.6878,0.703158806,0.65,0.675535232,0.2744,,,,,,,,,
0.07,10,0.751286449,0.7317,0.886295432,0.5316,0.664583073,0.0682,,,,,,,,,
0.09,20,0.483704974,0.6911,0.876625936,0.4448,0.590155234,0.0626,,,,,,,,,
0.01,20,0.2864494,0.6403,0.773276198,0.397,0.524646491,0.1164,,,,,,,,,
0.05,40,0.310463122,0.6605,0.882689557,0.3702,0.521628857,0.0492,,,,,,,,,
0.03,20,0.38593482,0.6361,0.762639907,0.3952,0.52061652,0.123,,,,,,,,,
0.04,40,0.40651801,0.6579,0.886820186,0.362,0.514131515,0.0462,,,,,,,,,
0.01,40,0.305317324,0.6237,0.743408107,0.3778,0.500994563,0.1304,,,,,,,,,
0.07,30,0.173241852,0.6513,0.885379521,0.3476,0.499210111,0.045,,,,,,,,,
0.02,50,0.171526587,0.6497,0.895822316,0.3388,0.491655783,0.0394,,,,,,,,,
0.03,10,0.042881647,0.5833,0.641714869,0.3772,0.475122811,0.2106,,,,,,,,,
0.03,40,0.138936535,0.629,0.816486752,0.3328,0.472861608,0.0748,,,,,,,,,
0.08,10,0.065180103,0.6213,0.779621946,0.3382,0.471753383,0.0956,,,,,,,,,
0.05,80,0.15780446,0.641,0.898305085,0.318,0.46971935,0.036,,,,,,,,,
0.01,80,0.324185249,0.6327,0.850872554,0.3218,0.466985924,0.0564,,,,,,,,,
0.02,90,0.106346484,0.6181,0.782130913,0.3274,0.461581841,0.0912,,,,,,,,,
0.02,70,0.120068611,0.6385,0.919951486,0.3034,0.456309219,0.0264,,,,,,,,,
0.02,40,0.313893654,0.6168,0.802277433,0.31,0.447201385,0.0764,,,,,,,,,
0.05,60,0.161234991,0.6291,0.88399762,0.2972,0.444843586,0.039,,,,,,,,,
0.04,80,0.054888508,0.6289,0.945404285,0.2736,0.424383434,0.0158,,,,,,,,,
0.07,60,0.046312178,0.6286,0.944674965,0.2732,0.423828731,0.016,,,,,,,,,
0.07,90,0.205831904,0.6258,0.934993084,0.2704,0.419484952,0.0188,,,,,,,,,
0.05,20,0.109777015,0.6023,0.796178344,0.275,0.408800357,0.0704,,,,,,,,,
0.02,80,0.096054889,0.6136,0.875661376,0.2648,0.406633907,0.0376,,,,,,,,,
0.04,50,0.077186964,0.6088,0.843434343,0.2672,0.405832321,0.0496,,,,,,,,,
0.06,60,0.015437393,0.6153,0.909737029,0.256,0.399562978,0.0254,,,,,,,,,
0.08,70,0.012006861,0.6153,0.913854989,0.2546,0.398248084,0.024,,,,,,,,,
0.1,50,0.015437393,0.6132,0.928787879,0.2452,0.387974684,0.0188,,,,,,,,,
0.01,50,0.039451115,0.5974,0.825100134,0.2472,0.380424746,0.0524,,,,,,,,,
0.03,90,0.027444254,0.6005,0.848716169,0.2446,0.379754696,0.0436,,,,,,,,,
0.08,50,0.039451115,0.6134,0.97171381,0.2336,0.376652693,0.0068,,,,,,,,,
0.01,90,0,0.608,0.919254658,0.2368,0.376590331,0.0208,,,,,,,,,
0.07,50,0.003430532,0.6008,0.877811094,0.2342,0.369750553,0.0326,,,,,,,,,
0.08,60,0.012006861,0.6118,0.982728843,0.2276,0.36960052,0.004,,,,,,,,,
0.09,70,0,0.6069,0.932793522,0.2304,0.369526864,0.0166,,,,,,,,,
0.06,30,0.022298456,0.5991,0.865143699,0.2348,0.369356615,0.0366,,,,,,,,,
0.08,80,0.001715266,0.609,0.956448911,0.2284,0.368743946,0.0104,,,,,,,,,
0.1,80,0.084048027,0.601,0.922240803,0.2206,0.356036152,0.0186,,,,,,,,,
0.06,100,0.060034305,0.583,0.82120743,0.2122,0.337253655,0.0462,,,,,,,,,
0.02,60,0.106346484,0.5941,0.948522402,0.199,0.328979997,0.0108,,,,,,,,,
0.1,10,0,0.568,0.75,0.204,0.320754717,0.068,,,,,,,,,
0.09,10,0,0.5812,0.848797251,0.1976,0.320571058,0.0352,,,,,,,,,
0.01,60,0,0.5771,0.828644501,0.1944,0.314919812,0.0402,,,,,,,,,
0.07,70,0.015437393,0.59,0.985961123,0.1826,0.308133648,0.0026,,,,,,,,,
0.05,50,0.001715266,0.5699,0.80847308,0.1832,0.298711887,0.0434,,,,,,,,,
0.07,20,0.027444254,0.5681,0.799472296,0.1818,0.296235946,0.0456,,,,,,,,,
0.05,100,0,0.572,0.973684211,0.148,0.256944444,0.004,,,,,,,,,
0.04,100,0.015437393,0.5736,1,0.1472,0.256624826,0,,,,,,,,,
0.04,90,0,0.5579,0.912981455,0.128,0.224522014,0.0122,,,,,,,,,
0.08,40,0.001715266,0.5554,0.917168675,0.1218,0.215042373,0.011,,,,,,,,,
0.04,10,0.013722127,0.4719,0.410793651,0.1294,0.196806084,0.1856,,,,,,,,,
0.01,30,0,0.5377,0.754385965,0.1118,0.194739592,0.0364,,,,,,,,,
0.03,30,0,0.5504,0.95323741,0.106,0.190784737,0.0052,,,,,,,,,
0.01,70,0,0.5485,0.948243993,0.1026,0.185165133,0.0056,,,,,,,,,
0.04,70,0.001715266,0.5387,0.889336016,0.0884,0.16081499,0.011,,,,,,,,,
