radius,count,Unknown Coverage,Accuracy,Precision,Recall,F1,FPR,,,,,,,,,
0.04,10,0.75348496,0.7888,0.871781668,0.6772,0.762269248,0.0996,,0.04,10,0.7888,0.871781668,0.6772,0.0996,0.75348496,0.762269248
0.01,10,0.626314502,0.7122,0.746057514,0.6434,0.690936426,0.219,,,,,,,,,
0.07,10,0.435803375,0.7317,0.886295432,0.5316,0.664583073,0.0682,,,,,,,,,
0.05,10,0.295915872,0.7091,0.828670229,0.5272,0.644419998,0.109,,,,,,,,,
0.1,20,0.16776718,0.6619,0.875289754,0.3776,0.527595361,0.0538,,,,,,,,,
0.03,20,0.226705796,0.6361,0.762639907,0.3952,0.52061652,0.123,,,,,,,,,
0.04,40,0.302274395,0.6682,0.952150538,0.3542,0.516326531,0.0178,,,,,,,,,
0.01,30,0.115676204,0.6237,0.743408107,0.3778,0.500994563,0.1304,,,,,,,,,
0.02,50,0.086329176,0.6497,0.895822316,0.3388,0.491655783,0.0394,,,,,,,,,
0.03,30,0.065541697,0.5833,0.641714869,0.3772,0.475122811,0.2106,,,,,,,,,
0.03,40,0.056003913,0.629,0.816486752,0.3328,0.472861608,0.0748,,,,,,,,,
0.04,30,0.08045977,0.6177,0.765928604,0.339,0.46998475,0.1036,,,,,,,,,
0.05,80,0.038884813,0.641,0.898305085,0.318,0.46971935,0.036,,,,,,,,,
0.02,30,0.158473955,0.5816,0.642458101,0.368,0.467955239,0.2048,,,,,,,,,
0.01,70,0.182929812,0.6327,0.850872554,0.3218,0.466985924,0.0564,,,,,,,,,
0.09,10,0.090242113,0.6396,0.903935185,0.3124,0.464328181,0.0332,,,,,,,,,
0.03,10,0.077769626,0.6218,0.800295858,0.3246,0.461866818,0.081,,,,,,,,,
0.02,90,0.05478112,0.6181,0.782130913,0.3274,0.461581841,0.0912,,,,,,,,,
0.02,40,0.179995109,0.6168,0.802277433,0.31,0.447201385,0.0764,,,,,,,,,
0.05,60,0.09073123,0.6291,0.88399762,0.2972,0.444843586,0.039,,,,,,,,,
0.04,60,0.054536562,0.6206,0.875,0.2814,0.425847458,0.0402,,,,,,,,,
0.07,40,0.038640254,0.6213,0.884103863,0.2792,0.424380605,0.0366,,,,,,,,,
0.02,80,0.033259966,0.6244,0.921409214,0.272,0.420012353,0.0232,,,,,,,,,
0.03,60,0.056982147,0.6102,0.845671267,0.2696,0.408856536,0.0492,,,,,,,,,
0.1,30,0.036928344,0.6032,0.80972389,0.2698,0.404740474,0.0634,,,,,,,,,
0.07,50,0.054292003,0.6249,0.991345397,0.252,0.401849785,0.0022,,,,,,,,,
0.06,60,0.008070433,0.6153,0.909737029,0.256,0.399562978,0.0254,,,,,,,,,
0.07,30,0.038884813,0.615,0.90954416,0.2554,0.398813242,0.0254,,,,,,,,,
0.08,30,0.050379066,0.6112,0.88292011,0.2564,0.397396156,0.034,,,,,,,,,
0.07,60,0.040107606,0.6165,0.936984246,0.2498,0.394441813,0.0168,,,,,,,,,
0.01,50,0.021276596,0.5974,0.825100134,0.2472,0.380424746,0.0524,,,,,,,,,
0.09,90,0.007336757,0.6074,0.913713405,0.2372,0.376627501,0.0224,,,,,,,,,
0.02,20,0.009293226,0.6088,0.92700157,0.2362,0.376474339,0.0186,,,,,,,,,
0.08,10,0.01883101,0.6035,0.891748675,0.2356,0.372725835,0.0286,,,,,,,,,
0.09,40,0.010760577,0.6071,0.927374302,0.2324,0.371661602,0.0182,,,,,,,,,
0.08,40,0.004891171,0.6118,0.981896552,0.2278,0.369805195,0.0042,,,,,,,,,
0.08,20,0.004646613,0.5736,0.708853575,0.2498,0.369417332,0.1026,,,,,,,,,
0.06,30,0.008070433,0.5991,0.865143699,0.2348,0.369356615,0.0366,,,,,,,,,
0.07,100,0.009293226,0.6081,0.947063689,0.229,0.368819456,0.0128,,,,,,,,,
0.07,70,0.008314991,0.5982,0.903119869,0.22,0.353811515,0.0236,,,,,,,,,
0.01,20,0.012961604,0.5892,0.834332834,0.2226,0.351436691,0.0442,,,,,,,,,
0.1,50,0.001222793,0.5947,0.90995671,0.2102,0.341510967,0.0208,,,,,,,,,
0.06,100,0.023233064,0.583,0.82120743,0.2122,0.337253655,0.0462,,,,,,,,,
0.09,20,0.015651749,0.599,0.992047714,0.1996,0.332334332,0.0016,,,,,,,,,
0.04,100,0.003668379,0.5912,0.912296564,0.2018,0.330494595,0.0194,,,,,,,,,
0.02,60,0.058449499,0.5941,0.948522402,0.199,0.328979997,0.0108,,,,,,,,,
0.07,80,0.004402054,0.59,0.910583942,0.1996,0.327427822,0.0196,,,,,,,,,
0.05,20,0.005869406,0.5716,0.768365817,0.205,0.323650142,0.0618,,,,,,,,,
0.04,80,0.005869406,0.5919,0.94482091,0.1952,0.323553788,0.0114,,,,,,,,,
0.01,40,0.030080704,0.5746,0.793238994,0.2018,0.321747449,0.0526,,,,,,,,,
0.05,30,0.032037173,0.588,0.949897751,0.1858,0.31080629,0.0098,,,,,,,,,
