radius,count,Unknown Coverage,Accuracy,Precision,Recall,F1,FPR,,,,,,,,,
0.07,30,0.268235717,0.7693,0.860315761,0.643,0.735950555,0.1044,,0.07,30,0.7693,0.860315761,0.643,0.1044,0.268235717,0.735950555
0.07,20,0.279464607,0.7638,0.862163646,0.628,0.726683638,0.1004,,,,,,,,,
0.01,10,0.278476464,0.7122,0.746057514,0.6434,0.690936426,0.219,,,,,,,,,
0.07,10,0.211372619,0.7317,0.886295432,0.5316,0.664583073,0.0682,,,,,,,,,
0.05,10,0.259342436,0.7091,0.828670229,0.5272,0.644419998,0.109,,,,,,,,,
0.09,10,0.081386992,0.6674,0.913129319,0.37,0.526615428,0.0352,,,,,,,,,
0.03,40,0.232842257,0.6361,0.762639907,0.3952,0.52061652,0.123,,,,,,,,,
0.04,30,0.113097377,0.6417,0.79731431,0.38,0.514695923,0.0966,,,,,,,,,
0.01,30,0.107168523,0.6237,0.743408107,0.3778,0.500994563,0.1304,,,,,,,,,
0.02,60,0.043029105,0.6497,0.895822316,0.3388,0.491655783,0.0394,,,,,,,,,
0.08,50,0.043298599,0.6453,0.875452196,0.3388,0.48853641,0.0482,,,,,,,,,
0.03,10,0.216852318,0.5833,0.641714869,0.3772,0.475122811,0.2106,,,,,,,,,
0.03,50,0.030991736,0.629,0.816486752,0.3328,0.472861608,0.0748,,,,,,,,,
0.05,80,0.034045994,0.641,0.898305085,0.318,0.46971935,0.036,,,,,,,,,
0.02,30,0.078063241,0.5816,0.642458101,0.368,0.467955239,0.2048,,,,,,,,,
0.01,60,0.124865253,0.6327,0.850872554,0.3218,0.466985924,0.0564,,,,,,,,,
0.01,70,0.316654689,0.6185,0.781740371,0.3288,0.462902999,0.0918,,,,,,,,,
0.02,70,0.127919511,0.6181,0.782130913,0.3274,0.461581841,0.0912,,,,,,,,,
0.02,50,0.130704276,0.616,0.79204431,0.3146,0.45032923,0.0826,,,,,,,,,
0.05,60,0.039256198,0.6291,0.88399762,0.2972,0.444843586,0.039,,,,,,,,,
0.01,40,0.027039166,0.6068,0.798992161,0.2854,0.420571765,0.0718,,,,,,,,,
0.03,20,0.024793388,0.6143,0.845735027,0.2796,0.420261536,0.051,,,,,,,,,
0.02,80,0.089741286,0.6159,0.901038062,0.2604,0.404034135,0.0286,,,,,,,,,
0.06,60,0.003772907,0.6153,0.909737029,0.256,0.399562978,0.0254,,,,,,,,,
0.08,40,0.003593245,0.6112,0.892101551,0.253,0.394203802,0.0306,,,,,,,,,
0.1,80,0.028386633,0.6179,0.955212355,0.2474,0.393010326,0.0116,,,,,,,,,
0.09,90,0.004311894,0.6153,0.93907083,0.2466,0.390622525,0.016,,,,,,,,,
0.08,10,0.021200144,0.6035,0.85615967,0.2488,0.385557105,0.0418,,,,,,,,,
0.01,50,0.014822134,0.5974,0.825100134,0.2472,0.380424746,0.0524,,,,,,,,,
0.03,90,0.01122889,0.6005,0.848716169,0.2446,0.379754696,0.0436,,,,,,,,,
0.08,20,0.037190083,0.6077,0.915830116,0.2372,0.37680699,0.0218,,,,,,,,,
0.01,80,0.02488322,0.608,0.919254658,0.2368,0.376590331,0.0208,,,,,,,,,
0.09,40,0.005749192,0.6071,0.927374302,0.2324,0.371661602,0.0182,,,,,,,,,
0.06,30,0.009522098,0.5991,0.865143699,0.2348,0.369356615,0.0366,,,,,,,,,
0.1,60,0.0337765,0.6071,0.955744681,0.2246,0.363724696,0.0104,,,,,,,,,
0.07,50,0.013744161,0.6014,0.919701987,0.2222,0.357925258,0.0194,,,,,,,,,
0.01,20,0.022457779,0.5892,0.834332834,0.2226,0.351436691,0.0442,,,,,,,,,
0.04,60,0.000269493,0.6024,0.984848485,0.208,0.34346103,0.0032,,,,,,,,,
0.06,100,0.014911966,0.583,0.82120743,0.2122,0.337253655,0.0462,,,,,,,,,
0.09,20,0.018954366,0.599,0.992047714,0.1996,0.332334332,0.0016,,,,,,,,,
0.07,70,0.002245778,0.593,0.928176796,0.2016,0.331252054,0.0156,,,,,,,,,
0.05,20,0.020840819,0.5716,0.768365817,0.205,0.323650142,0.0618,,,,,,,,,
0.1,10,0.048508803,0.568,0.75,0.204,0.320754717,0.068,,,,,,,,,
0.01,90,0.093424362,0.5771,0.828644501,0.1944,0.314919812,0.0402,,,,,,,,,
0.05,30,0.103215954,0.588,0.949897751,0.1858,0.31080629,0.0098,,,,,,,,,
0.05,50,0.046263026,0.5699,0.80847308,0.1832,0.298711887,0.0434,,,,,,,,,
0.05,40,0.011767876,0.5718,0.894505495,0.1628,0.275465313,0.0192,,,,,,,,,
0.03,30,0.020661157,0.5733,0.958698373,0.1532,0.26418348,0.0066,,,,,,,,,
0.05,100,0.014283148,0.572,0.973684211,0.148,0.256944444,0.004,,,,,,,,,
0.04,80,0.001886453,0.5736,1,0.1472,0.256624826,0,,,,,,,,,
0.08,80,0,0.5733,0.998639456,0.1468,0.255972101,0.0002,,,,,,,,,
0.1,100,0.007635645,0.5677,0.984263233,0.1376,0.241445868,0.0022,,,,,,,,,
0.1,30,0.00485088,0.565,0.995426829,0.1306,0.230905233,0.0006,,,,,,,,,
