radius,count,Unknown Coverage,Accuracy,Precision,Recall,F1,FPR,,,,,,,,,
0.04,10,0.424282415,0.7888,0.871781668,0.6772,0.762269248,0.0996,,0.04,10,0.7888,0.871781668,0.6772,0.0996,0.424282415,0.762269248
0.1,20,0.38700099,0.7671,0.85948856,0.6386,0.73275961,0.1044,,,,,,,,,
0.08,10,0.313757836,0.745,0.843329596,0.6018,0.702380952,0.1118,,,,,,,,,
0.01,10,0.365225998,0.7122,0.746057514,0.6434,0.690936426,0.219,,,,,,,,,
0.07,30,0.29808644,0.7434,0.878420398,0.565,0.687682571,0.0782,,,,,,,,,
0.08,20,0.237710327,0.7425,0.890499195,0.553,0.68229488,0.068,,,,,,,,,
0.07,10,0.226822831,0.7317,0.886295432,0.5316,0.664583073,0.0682,,,,,,,,,
0.03,10,0.516991092,0.6137,0.608970673,0.6354,0.621904669,0.408,,,,,,,,,
0.04,50,0.132464533,0.6619,0.866787494,0.3826,0.530872763,0.0588,,,,,,,,,
0.05,10,0.1586935,0.6678,0.918662675,0.3682,0.5256996,0.0326,,,,,,,,,
0.01,30,0.150940284,0.6403,0.773276198,0.397,0.524646491,0.1164,,,,,,,,,
0.03,30,0.173375124,0.6361,0.762639907,0.3952,0.52061652,0.123,,,,,,,,,
0.01,40,0.267898383,0.6237,0.743408107,0.3778,0.500994563,0.1304,,,,,,,,,
0.02,60,0.098152425,0.6497,0.895822316,0.3388,0.491655783,0.0394,,,,,,,,,
0.08,50,0.087099967,0.6453,0.875452196,0.3388,0.48853641,0.0482,,,,,,,,,
0.03,40,0.076377433,0.629,0.816486752,0.3328,0.472861608,0.0748,,,,,,,,,
0.05,80,0.079181788,0.641,0.898305085,0.318,0.46971935,0.036,,,,,,,,,
0.01,80,0.119597493,0.6327,0.850872554,0.3218,0.466985924,0.0564,,,,,,,,,
0.04,30,0.264929066,0.6058,0.720969089,0.3452,0.466865026,0.1336,,,,,,,,,
0.09,10,0.10574068,0.6396,0.903935185,0.3124,0.464328181,0.0332,,,,,,,,,
0.02,40,0.127020785,0.616,0.79204431,0.3146,0.45032923,0.0826,,,,,,,,,
0.02,50,0.080501485,0.6168,0.802277433,0.31,0.447201385,0.0764,,,,,,,,,
0.07,50,0.063510393,0.6334,0.91223733,0.2952,0.44605621,0.0284,,,,,,,,,
0.05,60,0.076377433,0.6291,0.88399762,0.2972,0.444843586,0.039,,,,,,,,,
0.04,90,0.047179149,0.627,0.885315534,0.2918,0.438929001,0.0378,,,,,,,,,
