radius,count,Unknown Coverage,Accuracy,Precision,Recall,F1,FPR,,,,,,,,,
0.03,10,0.915690742,0.6997,0.706600455,0.683,0.694599817,0.2836,,0.03,10,0.6997,0.706600455,0.683,0.2836,0.915690742,0.694599817
0.01,10,0.972974405,0.7122,0.746057514,0.6434,0.690936426,0.219,,,,,,,,,
0.07,10,0.917333475,0.7317,0.886295432,0.5316,0.664583073,0.0682,,,,,,,,,
0.05,10,0.924911239,0.7091,0.828670229,0.5272,0.644419998,0.109,,,,,,,,,
0.03,20,0.675374914,0.6361,0.762639907,0.3952,0.52061652,0.123,,,,,,,,,
0.01,30,0.715595358,0.6237,0.743408107,0.3778,0.500994563,0.1304,,,,,,,,,
0.02,60,0.725080812,0.6497,0.895822316,0.3388,0.491655783,0.0394,,,,,,,,,
0.03,50,0.731863706,0.629,0.816486752,0.3328,0.472861608,0.0748,,,,,,,,,
0.05,80,0.689788564,0.641,0.898305085,0.318,0.46971935,0.036,,,,,,,,,
0.01,60,0.577446876,0.6327,0.850872554,0.3218,0.466985924,0.0564,,,,,,,,,
0.09,10,0.645010863,0.6396,0.903935185,0.3124,0.464328181,0.0332,,,,,,,,,
0.02,100,0.657463833,0.6181,0.782130913,0.3274,0.461581841,0.0912,,,,,,,,,
0.02,70,0.670711674,0.6385,0.919951486,0.3034,0.456309219,0.0264,,,,,,,,,
0.08,10,0.606486143,0.6132,0.768246445,0.3242,0.455977496,0.0978,,,,,,,,,
0.02,50,0.476021409,0.6168,0.802277433,0.31,0.447201385,0.0764,,,,,,,,,
0.05,60,0.629166446,0.6291,0.88399762,0.2972,0.444843586,0.039,,,,,,,,,
0.04,70,0.599915214,0.6286,0.905422446,0.2872,0.436076526,0.03,,,,,,,,,
0.01,40,0.64214933,0.6068,0.798992161,0.2854,0.420571765,0.0718,,,,,,,,,
0.02,40,0.600339145,0.6143,0.845317221,0.2798,0.420435763,0.0512,,,,,,,,,
0.09,30,0.592337449,0.6125,0.833827893,0.281,0.420344054,0.056,,,,,,,,,
0.02,10,0.58693233,0.6067,0.803642573,0.2824,0.417936954,0.069,,,,,,,,,
0.08,60,0.611732288,0.6223,0.915139172,0.2696,0.416499305,0.025,,,,,,,,,
0.03,60,0.574956282,0.6102,0.845671267,0.2696,0.408856536,0.0492,,,,,,,,,
0.07,100,0.559535796,0.6206,0.931330472,0.2604,0.407002188,0.0192,,,,,,,,,
0.06,60,0.585183615,0.6153,0.909737029,0.256,0.399562978,0.0254,,,,,,,,,
0.04,90,0.574267394,0.6054,0.865972222,0.2494,0.387267081,0.0386,,,,,,,,,
0.01,90,0.575751153,0.5858,0.745986239,0.2602,0.385824437,0.0886,,,,,,,,,
0.01,50,0.552275979,0.5974,0.825100134,0.2472,0.380424746,0.0524,,,,,,,,,
0.06,30,0.535742674,0.5991,0.865143699,0.2348,0.369356615,0.0366,,,,,,,,,
0.1,90,0.52159398,0.6106,0.985087719,0.2246,0.365798046,0.0034,,,,,,,,,
0.1,60,0.488951301,0.601,0.922240803,0.2206,0.356036152,0.0186,,,,,,,,,
0.01,20,0.501828202,0.5892,0.834332834,0.2226,0.351436691,0.0442,,,,,,,,,
0.02,80,0.483175242,0.5999,0.944790739,0.2122,0.346562143,0.0124,,,,,,,,,
0.1,50,0.49319061,0.6035,0.995215311,0.208,0.344086022,0.001,,,,,,,,,
0.03,80,0.388373695,0.5935,0.891213389,0.213,0.343825666,0.026,,,,,,,,,
0.06,100,0.465052196,0.583,0.82120743,0.2122,0.337253655,0.0462,,,,,,,,,
0.04,60,0.457103492,0.5885,0.874049028,0.2068,0.33446547,0.0298,,,,,,,,,
0.08,80,0.460759896,0.5923,0.932521087,0.199,0.328003956,0.0144,,,,,,,,,
0.05,20,0.461872715,0.5716,0.768365817,0.205,0.323650142,0.0618,,,,,,,,,
0.08,70,0.439033438,0.5918,0.961770624,0.1912,0.318985652,0.0076,,,,,,,,,
0.08,20,0.421811245,0.5909,0.95678392,0.1904,0.317597998,0.0086,,,,,,,,,
0.01,70,0.375125854,0.5771,0.828644501,0.1944,0.314919812,0.0402,,,,,,,,,
0.05,30,0.368501934,0.588,0.949897751,0.1858,0.31080629,0.0098,,,,,,,,,
0.05,50,0.375125854,0.5699,0.80847308,0.1832,0.298711887,0.0434,,,,,,,,,
0.07,40,0.401833501,0.5762,0.871345029,0.1788,0.296714238,0.0264,,,,,,,,,
0.07,20,0.41036511,0.5681,0.799472296,0.1818,0.296235946,0.0456,,,,,,,,,
0.09,40,0.334799428,0.5746,0.901939655,0.1674,0.282388664,0.0182,,,,,,,,,
0.05,40,0.358963489,0.5718,0.894505495,0.1628,0.275465313,0.0192,,,,,,,,,
0.07,70,0.340416512,0.5758,0.947990544,0.1604,0.274375641,0.0088,,,,,,,,,
0.05,100,0.332997721,0.572,0.973684211,0.148,0.256944444,0.004,,,,,,,,,
0.08,100,0.274177309,0.5602,0.99669967,0.1208,0.215483411,0.0004,,,,,,,,,
0.03,30,0.254729479,0.5504,0.95323741,0.106,0.190784737,0.0052,,,,,,,,,
0.01,80,0.234751735,0.5485,0.948243993,0.1026,0.185165133,0.0056,,,,,,,,,
