radius,count,Unknown Coverage,Accuracy,Precision,Recall,F1,FPR,,,,,,,,,
0.04,10,0.249713959,0.7888,0.871781668,0.6772,0.762269248,0.0996,,0.04,10,0.7888,0.871781668,0.6772,0.0996,0.249713959,0.762269248
0.07,20,0.220823799,0.7638,0.862163646,0.628,0.726683638,0.1004,,,,,,,,,
0.08,10,0.170480549,0.745,0.843329596,0.6018,0.702380952,0.1118,,,,,,,,,
0.01,10,0.444221968,0.7122,0.746057514,0.6434,0.690936426,0.219,,,,,,,,,
0.08,20,0.09382151,0.7425,0.890499195,0.553,0.68229488,0.068,,,,,,,,,
0.07,10,0.05291762,0.7317,0.886295432,0.5316,0.664583073,0.0682,,,,,,,,,
0.09,20,0.072940503,0.6911,0.876625936,0.4448,0.590155234,0.0626,,,,,,,,,
0.02,100,0.029748284,0.6421,0.74373928,0.4336,0.547820594,0.1494,,,,,,,,,
0.04,50,0.026029748,0.6619,0.866787494,0.3826,0.530872763,0.0588,,,,,,,,,
0.05,10,0.022883295,0.6678,0.918662675,0.3682,0.5256996,0.0326,,,,,,,,,
0.05,40,0.008867277,0.6605,0.882689557,0.3702,0.521628857,0.0492,,,,,,,,,
0.01,30,0.03117849,0.6442,0.824482448,0.3664,0.507338687,0.078,,,,,,,,,
0.01,40,0.015160183,0.6237,0.743408107,0.3778,0.500994563,0.1304,,,,,,,,,
0.02,60,0.009153318,0.6497,0.895822316,0.3388,0.491655783,0.0394,,,,,,,,,
0.08,50,0.011727689,0.6453,0.875452196,0.3388,0.48853641,0.0482,,,,,,,,,
0.1,10,0.003146453,0.6447,0.895139268,0.3278,0.479871176,0.0384,,,,,,,,,
0.03,10,0.167334096,0.5833,0.641714869,0.3772,0.475122811,0.2106,,,,,,,,,
0.03,50,0.007723112,0.629,0.816486752,0.3328,0.472861608,0.0748,,,,,,,,,
0.04,30,0.170480549,0.6058,0.720969089,0.3452,0.466865026,0.1336,,,,,,,,,
0.02,80,0.010011442,0.6181,0.782130913,0.3274,0.461581841,0.0912,,,,,,,,,
0.1,70,0.009153318,0.6397,0.933581626,0.3008,0.454999244,0.0214,,,,,,,,,
0.02,50,0.036327231,0.616,0.79204431,0.3146,0.45032923,0.0826,,,,,,,,,
0.02,40,0.014874142,0.6168,0.802277433,0.31,0.447201385,0.0764,,,,,,,,,
0.04,60,0.00228833,0.6289,0.945404285,0.2736,0.424383434,0.0158,,,,,,,,,
0.09,30,0.004576659,0.6125,0.833827893,0.281,0.420344054,0.056,,,,,,,,,
0.02,10,0.043478261,0.6067,0.803642573,0.2824,0.417936954,0.069,,,,,,,,,
0.08,60,0.00228833,0.6199,0.895709571,0.2714,0.41657713,0.0316,,,,,,,,,
0.1,90,0.003718535,0.6155,0.878688525,0.268,0.410727969,0.037,,,,,,,,,
0.05,20,0.0048627,0.6023,0.796178344,0.275,0.408800357,0.0704,,,,,,,,,
0.02,90,0.002002288,0.6136,0.875661376,0.2648,0.406633907,0.0376,,,,,,,,,
0.06,60,0.000286041,0.6153,0.909737029,0.256,0.399562978,0.0254,,,,,,,,,
0.08,70,0.001144165,0.6153,0.913854989,0.2546,0.398248084,0.024,,,,,,,,,
0.07,50,0.000286041,0.6081,0.903659447,0.242,0.381763685,0.0258,,,,,,,,,
0.01,60,0.00228833,0.5974,0.825100134,0.2472,0.380424746,0.0524,,,,,,,,,
0.03,80,0.003432494,0.6005,0.848716169,0.2446,0.379754696,0.0436,,,,,,,,,
0.09,40,0.001144165,0.6071,0.927374302,0.2324,0.371661602,0.0182,,,,,,,,,
0.09,70,0,0.6069,0.932793522,0.2304,0.369526864,0.0166,,,,,,,,,
0.06,30,0.000858124,0.5991,0.865143699,0.2348,0.369356615,0.0366,,,,,,,,,
0.08,80,0,0.609,0.956448911,0.2284,0.368743946,0.0104,,,,,,,,,
0.01,20,0.000858124,0.5892,0.834332834,0.2226,0.351436691,0.0442,,,,,,,,,
0.05,70,0.000858124,0.5886,0.834087481,0.2212,0.349668037,0.044,,,,,,,,,
0.07,80,0,0.6006,0.978136882,0.2058,0.340052875,0.0046,,,,,,,,,
0.06,100,0.002002288,0.583,0.82120743,0.2122,0.337253655,0.0462,,,,,,,,,
0.04,100,0,0.5912,0.912296564,0.2018,0.330494595,0.0194,,,,,,,,,
0.07,40,0,0.5866,0.883185841,0.1996,0.325611746,0.0264,,,,,,,,,
0.07,100,0,0.5891,0.923882017,0.1942,0.320938688,0.016,,,,,,,,,
