radius,count,Unknown Coverage,Accuracy,Precision,Recall,F1,FPR,,,,,,,,,
0.01,10,0.486772487,0.7122,0.746057514,0.6434,0.690936426,0.219,,0.01,10,0.7122,0.746057514,0.6434,0.219,0.486772487,0.690936426
0.07,30,0.097883598,0.7434,0.878420398,0.565,0.687682571,0.0782,,,,,,,,,
0.07,10,0,0.7317,0.886295432,0.5316,0.664583073,0.0682,,,,,,,,,
0.05,10,0,0.6678,0.918662675,0.3682,0.5256996,0.0326,,,,,,,,,
0.05,40,0,0.6605,0.882689557,0.3702,0.521628857,0.0492,,,,,,,,,
0.03,10,0.007936508,0.6361,0.762639907,0.3952,0.52061652,0.123,,,,,,,,,
0.01,30,0.010582011,0.6237,0.743408107,0.3778,0.500994563,0.1304,,,,,,,,,
0.02,70,0.007936508,0.6497,0.895822316,0.3388,0.491655783,0.0394,,,,,,,,,
0.08,70,0,0.6453,0.875452196,0.3388,0.48853641,0.0482,,,,,,,,,
0.03,50,0,0.629,0.816486752,0.3328,0.472861608,0.0748,,,,,,,,,
0.07,50,0,0.6433,0.9168121,0.3152,0.469117428,0.0286,,,,,,,,,
0.01,60,0,0.6327,0.850872554,0.3218,0.466985924,0.0564,,,,,,,,,
0.04,30,0.126984127,0.6058,0.720969089,0.3452,0.466865026,0.1336,,,,,,,,,
0.09,50,0,0.6375,0.917933131,0.302,0.45447705,0.027,,,,,,,,,
0.02,50,0,0.616,0.79204431,0.3146,0.45032923,0.0826,,,,,,,,,
0.02,40,0,0.6168,0.802277433,0.31,0.447201385,0.0764,,,,,,,,,
0.03,20,0,0.6175,0.809373354,0.3074,0.445571822,0.0724,,,,,,,,,
0.04,90,0,0.627,0.885315534,0.2918,0.438929001,0.0378,,,,,,,,,
0.01,40,0,0.6068,0.798992161,0.2854,0.420571765,0.0718,,,,,,,,,
0.1,10,0,0.6228,0.916553596,0.2702,0.417361755,0.0246,,,,,,,,,
0.1,90,0,0.6155,0.878688525,0.268,0.410727969,0.037,,,,,,,,,
0.03,70,0,0.6102,0.845671267,0.2696,0.408856536,0.0492,,,,,,,,,
0.05,20,0,0.6023,0.796178344,0.275,0.408800357,0.0704,,,,,,,,,
0.02,80,0,0.6136,0.875661376,0.2648,0.406633907,0.0376,,,,,,,,,
0.06,60,0,0.6153,0.909737029,0.256,0.399562978,0.0254,,,,,,,,,
0.08,30,0,0.6112,0.88292011,0.2564,0.397396156,0.034,,,,,,,,,
0.04,80,0,0.6127,0.903364352,0.2524,0.39455995,0.027,,,,,,,,,
0.08,40,0,0.6112,0.892101551,0.253,0.394203802,0.0306,,,,,,,,,
0.09,90,0,0.6153,0.93907083,0.2466,0.390622525,0.016,,,,,,,,,
0.01,50,0,0.5974,0.825100134,0.2472,0.380424746,0.0524,,,,,,,,,
0.01,100,0,0.608,0.919254658,0.2368,0.376590331,0.0208,,,,,,,,,
0.09,70,0,0.6069,0.932793522,0.2304,0.369526864,0.0166,,,,,,,,,
0.08,20,0,0.5736,0.708853575,0.2498,0.369417332,0.1026,,,,,,,,,
0.06,30,0,0.5991,0.865143699,0.2348,0.369356615,0.0366,,,,,,,,,
0.09,10,0,0.5671,0.680667744,0.2528,0.368674347,0.1186,,,,,,,,,
0.09,40,0,0.6053,0.924254633,0.2294,0.3675693,0.0188,,,,,,,,,
0.05,100,0,0.6056,0.932786885,0.2276,0.365916399,0.0164,,,,,,,,,
0.05,90,0,0.6006,0.912295082,0.2226,0.357877814,0.0214,,,,,,,,,
0.1,30,0,0.5995,0.905460473,0.2222,0.356833146,0.0232,,,,,,,,,
0.04,100,0,0.5948,0.865740741,0.2244,0.356416773,0.0348,,,,,,,,,
0.1,40,0,0.5911,0.843773585,0.2236,0.353517787,0.0414,,,,,,,,,
0.01,20,0,0.5892,0.834332834,0.2226,0.351436691,0.0442,,,,,,,,,
0.05,70,0.002645503,0.5886,0.834087481,0.2212,0.349668037,0.044,,,,,,,,,
0.02,90,0,0.5999,0.944790739,0.2122,0.346562143,0.0124,,,,,,,,,
0.03,80,0.002645503,0.5935,0.891213389,0.213,0.343825666,0.026,,,,,,,,,
0.04,60,0,0.6024,0.984848485,0.208,0.34346103,0.0032,,,,,,,,,
0.06,100,0,0.583,0.82120743,0.2122,0.337253655,0.0462,,,,,,,,,
0.02,60,0.005291005,0.5941,0.948522402,0.199,0.328979997,0.0108,,,,,,,,,
0.08,100,0,0.5923,0.932521087,0.199,0.328003956,0.0144,,,,,,,,,
0.07,40,0,0.5866,0.883185841,0.1996,0.325611746,0.0264,,,,,,,,,
0.08,90,0,0.5918,0.961770624,0.1912,0.318985652,0.0076,,,,,,,,,
0.01,80,0,0.5771,0.828644501,0.1944,0.314919812,0.0402,,,,,,,,,
0.04,40,0,0.5794,0.884689922,0.1826,0.302718833,0.0238,,,,,,,,,
0.07,20,0,0.5681,0.799472296,0.1818,0.296235946,0.0456,,,,,,,,,
0.05,50,0,0.5839,0.976163451,0.172,0.292467267,0.0042,,,,,,,,,
0.09,20,0,0.5754,0.938372093,0.1614,0.275426621,0.0106,,,,,,,,,
0.07,80,0,0.5687,0.876232202,0.16,0.270590225,0.0226,,,,,,,,,
0.1,20,0,0.5752,0.974747475,0.1544,0.266574586,0.004,,,,,,,,,
0.08,50,0,0.563,0.972972973,0.1296,0.228732792,0.0036,,,,,,,,,
0.04,70,0,0.5579,0.912981455,0.128,0.224522014,0.0122,,,,,,,,,
0.09,30,0,0.554,0.983870968,0.1098,0.197553077,0.0018,,,,,,,,,
0.09,100,0,0.5517,0.970856102,0.1066,0.192106686,0.0032,,,,,,,,,
0.03,30,0,0.5504,0.95323741,0.106,0.190784737,0.0052,,,,,,,,,
0.01,70,0,0.5485,0.948243993,0.1026,0.185165133,0.0056,,,,,,,,,
0.04,50,0,0.5352,0.779365079,0.0982,0.174422735,0.0278,,,,,,,,,
0.07,70,0,0.5334,0.804744526,0.0882,0.158976208,0.0214,,,,,,,,,
0.06,20,0,0.5256,0.784444444,0.0706,0.129541284,0.0194,,,,,,,,,
0.03,60,0,0.5083,0.574774775,0.0638,0.114851485,0.0472,,,,,,,,,
0.09,60,0,0.5194,0.763586957,0.0562,0.104694486,0.0174,,,,,,,,,
0.02,100,0,0.4884,0.402684564,0.048,0.085775554,0.0712,,,,,,,,,
0.02,30,0,0.5083,0.620991254,0.0426,0.079730488,0.026,,,,,,,,,
0.06,40,0,0.5,0.5,0.0386,0.071667286,0.0386,,,,,,,,,
0.08,60,0,0.5157,0.875598086,0.0366,0.070263006,0.0052,,,,,,,,,
0.1,60,0,0.5125,0.78280543,0.0346,0.066270829,0.0096,,,,,,,,,
0.03,40,0,0.5129,0.837696335,0.032,0.061645155,0.0062,,,,,,,,,
0.05,60,0,0.5055,0.602996255,0.0322,0.061135371,0.0212,,,,,,,,,
0.06,50,0,0.5091,0.789808917,0.0248,0.048089975,0.0066,,,,,,,,,
0.1,50,0,0.5033,0.576036866,0.025,0.047920261,0.0184,,,,,,,,,
0.07,60,0,0.5056,0.74137931,0.0172,0.033620016,0.006,,,,,,,,,
0.02,20,0,0.5011,0.536423841,0.0162,0.031450204,0.014,,,,,,,,,
0.07,90,0,0.5069,0.925925926,0.015,0.029521748,0.0012,,,,,,,,,
0.04,20,0,0.5052,0.770833333,0.0148,0.029042386,0.0044,,,,,,,,,
0.04,10,0,0.4968,0.408045977,0.0142,0.027444917,0.0206,,,,,,,,,
0.07,100,0,0.505,0.828947368,0.0126,0.024822695,0.0026,,,,,,,,,
0.06,90,0,0.5021,0.612903226,0.0114,0.022383664,0.0072,,,,,,,,,
0.05,30,0,0.5012,0.563829787,0.0106,0.020808795,0.0082,,,,,,,,,
0.05,80,0,0.4939,0.317365269,0.0106,0.020514805,0.0228,,,,,,,,,
0.06,80,0,0.4991,0.430769231,0.0056,0.011056269,0.0074,,,,,,,,,
0.01,90,0,0.49,0.175324675,0.0054,0.010477299,0.0254,,,,,,,,,
0.03,100,0,0.4925,0.195121951,0.0048,0.00936951,0.0198,,,,,,,,,
0.08,80,0,0.4996,0.45,0.0036,0.007142857,0.0044,,,,,,,,,
0.06,10,0,0.4931,0.165048544,0.0034,0.006662747,0.0172,,,,,,,,,
0.02,10,0,0.4376,0.02293578,0.003,0.005305978,0.1278,,,,,,,,,
0.08,10,0,0.481,0.060185185,0.0026,0.004984663,0.0406,,,,,,,,,
0.1,70,0,0.5011,0.923076923,0.0024,0.004787552,0.0002,,,,,,,,,
0.1,80,0,0.5004,0.666666667,0.0016,0.003192338,0.0008,,,,,,,,,
0.06,70,0,0.4991,0.285714286,0.0012,0.002389962,0.003,,,,,,,,,
0.1,100,0,0.5001,1,0.0002,0.00039992,0,,,,,,,,,
0.03,90,0,0.4993,0,0,0,0.0014,,,,,,,,,
0.09,80,0,0.4997,0,0,0,0.0006,,,,,,,,,
