radius,count,Unknown Coverage,Accuracy,Precision,Recall,F1,FPR,,,,,,,,,
0.1,20,0.227272727,0.7671,0.85948856,0.6386,0.73275961,0.1044,,0.1,20,0.7671,0.85948856,0.6386,0.1044,0.227272727,0.73275961
0.07,30,0.090909091,0.7434,0.878420398,0.565,0.687682571,0.0782,,,,,,,,,
0.01,20,0.227272727,0.7234,0.790885417,0.6074,0.687104072,0.1606,,,,,,,,,
0.07,10,0,0.7317,0.886295432,0.5316,0.664583073,0.0682,,,,,,,,,
0.03,10,0.545454545,0.6137,0.608970673,0.6354,0.621904669,0.408,,,,,,,,,
0.05,40,0,0.6605,0.882689557,0.3702,0.521628857,0.0492,,,,,,,,,
0.03,30,0.068181818,0.6361,0.762639907,0.3952,0.52061652,0.123,,,,,,,,,
0.01,30,0.181818182,0.6237,0.743408107,0.3778,0.500994563,0.1304,,,,,,,,,
0.02,60,0.022727273,0.6497,0.895822316,0.3388,0.491655783,0.0394,,,,,,,,,
0.09,20,0.136363636,0.6427,0.858722976,0.3416,0.488768064,0.0562,,,,,,,,,
0.03,50,0,0.629,0.816486752,0.3328,0.472861608,0.0748,,,,,,,,,
0.02,30,0.045454545,0.5816,0.642458101,0.368,0.467955239,0.2048,,,,,,,,,
0.01,60,0.022727273,0.6327,0.850872554,0.3218,0.466985924,0.0564,,,,,,,,,
0.02,70,0,0.6385,0.919951486,0.3034,0.456309219,0.0264,,,,,,,,,
0.02,50,0.113636364,0.6168,0.802277433,0.31,0.447201385,0.0764,,,,,,,,,
0.09,30,0,0.6341,0.929532351,0.2902,0.442310623,0.022,,,,,,,,,
0.07,50,0.068181818,0.6262,0.894868586,0.286,0.433464686,0.0336,,,,,,,,,
0.01,40,0.068181818,0.6068,0.798992161,0.2854,0.420571765,0.0718,,,,,,,,,
0.03,70,0.045454545,0.6102,0.845671267,0.2696,0.408856536,0.0492,,,,,,,,,
0.05,20,0,0.6023,0.796178344,0.275,0.408800357,0.0704,,,,,,,,,
0.02,80,0,0.6136,0.875661376,0.2648,0.406633907,0.0376,,,,,,,,,
